,state,h_level,2015,2016,2017,2018,2019,2021
0,ca,high,42.81180811808118,47.949090909090906,47.89227758007117,45.4928125,47.18175084175084,46.71074675324675
1,ca,low,68.66818181818182,71.61951219512196,72.84060301507537,68.78946808510638,70.17032608695652,71.62405555555556
2,ca,mid,52.78111587982833,56.0062893081761,56.74916142557652,52.80488565488566,54.43033613445378,57.115223880597014
3,il,high,,,17.675,16.26829268292683,16.148837209302325,10.706818181818182
4,il,low,,,35.023003802281366,33.16551724137931,32.03185328185328,26.51062992125984
5,il,mid,,,30.675675675675677,28.12719298245614,28.407758620689656,24.261599999999998
6,nyc,high,,,,,,63.0
7,nyc,low,,,89.79237288135593,84.9531914893617,88.85593220338983,81.33620689655173
8,nyc,mid,,,78.0,75.0,80.0,37.5
9,tx,high,34.31701799485861,34.757542997543,34.625586854460096,37.32080188679245,42.448614318706696,39.69481132075472
10,tx,low,54.684089068825905,53.708164146868256,53.258758169934644,53.776566125290024,58.75746376811594,59.12002352941176
11,tx,mid,43.02803995006242,42.79933660933661,42.950750938673345,43.47583835946924,48.77598566308244,48.39938922155688
