,state,charter,2015,2016,2017,2018,2019,2021
0,ca,0.0,27.374683544303796,29.821518987341772,29.204683544303798,28.683316455696204,29.475151898734175,31.04784810126582
1,ca,1.0,25.95,29.771428571428572,29.30657142857143,28.61692857142857,29.303785714285713,27.400928571428572
2,il,0.0,,,30.54728434504792,28.310223642172524,27.434025559105432,22.0926517571885
3,il,1.0,,,14.05294117647059,16.25294117647059,16.327450980392154,6.382352941176471
4,nyc,0.0,,,80.68067226890756,75.49099639855942,76.55582232893157,57.59303721488595
5,tx,0.0,55.258453237410066,59.86329336530775,62.62243005595524,66.61451239008794,69.90547162270184,50.05801758593125
6,tx,1.0,36.98,39.44585774058577,43.135648535564854,47.47803347280335,49.14845188284519,26.518117154811716
