,state,b_level,2017,2018,2019,2021
0,ca,high,10.933333333333332,22.133333333333336,9.533333333333333,10.8
1,ca,low,8.009436352121595,8.378629792583281,8.735260842237587,8.027108057464085
2,ca,mid,21.776119402985074,19.472727272727273,21.04909090909091,15.345652173913043
3,il,high,9.126666666666667,9.137662337662338,12.353424657534246,5.891891891891892
4,il,low,1.6530465949820787,1.621043165467626,3.9129263913824057,3.0798214285714285
5,il,mid,3.8240000000000003,3.648,8.507692307692308,4.4135135135135135
6,nyc,high,8.923076923076923,8.72,8.74468085106383,5.162162162162162
7,nyc,low,4.732227488151659,4.737089201877934,5.014002333722287,3.7335640138408306
8,nyc,mid,10.132352941176471,10.041353383458647,10.18560606060606,7.34469696969697
9,tx,high,0.0,0.0,0.0,0.0
10,tx,low,0.0029411764705882353,0.0029154518950437317,0.005780346820809248,0.15472779369627507
11,tx,mid,0.0,0.0,0.0,0.0
