,state,2015,2016,2017,2018,2019,2021
0,ca,53.61024033437827,57.03552769070011,57.49462904911181,53.744514106583075,55.207063740856846,56.49559038662487
1,il,,,33.28522895125554,31.29379615952733,30.402067946824225,25.06824224519941
2,nyc,,,89.59583333333333,84.74583333333334,88.70833333333333,80.0875
3,tx,44.43510688836105,43.855023752969124,43.65434679334917,44.56246437054632,49.60293349168646,48.91336104513064
