,schoolcode,districtcode,countycode,year,charter,dropout,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,state
429,014803004tx,014803tx,014tx,2018,0.0,0.0,0.0,0.0,0.0,72.0,12.5,69.4444,5.5556,15.2778,tx
430,014803101tx,014803tx,014tx,2018,0.0,0.0,0.0,0.0,0.0,52.0,36.5385,59.6154,5.7692,26.9231,tx
431,014804006tx,014804tx,014tx,2018,0.0,0.0,0.0,0.0,0.0,339.0,3.8348,66.3717,2.9499,21.5339,tx
432,014905001tx,014905tx,014tx,2018,0.0,0.0,0.0,0.0,0.0,222.0,39.6396,69.8198,2.7027,27.4775,tx
433,014906004tx,014906tx,014tx,2018,0.0,0.0,0.0,0.0,0.0,395.0,85.0633,12.1519,58.481,23.038,tx
434,014909005tx,014909tx,014tx,2018,0.0,0.0,0.0,0.0,0.0,75.0,80.0,12.0,50.6667,37.3333,tx
435,014910001tx,014910tx,014tx,2018,0.0,0.0,0.0,0.0,0.0,450.0,43.7778,68.2222,1.1111,28.4444,tx
436,015802001tx,015802tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,177.0,100.0,9.6045,45.1977,40.113,tx
437,015802004tx,015802tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,88.0,100.0,2.2727,53.4091,40.9091,tx
438,015805001tx,015805tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,228.0,76.3158,3.0702,0.4386,95.614,tx
439,015815041tx,015815tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,140.0,61.4286,2.1429,0.0,96.4286,tx
440,015831002tx,015831tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,118.0,62.7119,17.7966,5.0847,72.0339,tx
441,015834001tx,015834tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,313.0,2.2364,31.6294,1.278,36.7412,tx
442,015835002tx,015835tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,178.0,26.9663,44.382,2.2472,49.4382,tx
443,015906001tx,015906tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,490.0,5.7143,39.5918,21.0204,22.6531,tx
444,015907022tx,015907tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,400.0,77.0,4.0,1.75,93.75,tx
445,015907023tx,015907tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,210.0,51.4286,2.8571,2.8571,91.4286,tx
446,015907026tx,015907tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,64.0,46.875,10.9375,1.5625,81.25,tx
447,015909006tx,015909tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,121.0,65.2893,20.6612,0.0,76.0331,tx
448,015910009tx,015910tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,495.0,24.0404,34.9495,3.4343,54.5455,tx
449,015910012tx,015910tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,626.0,65.3355,18.8498,13.4185,62.6198,tx
450,015911003tx,015911tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,74.0,87.8378,21.6216,5.4054,70.2703,tx
451,015915006tx,015915tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,854.0,24.9415,22.8337,5.2693,50.5855,tx
452,015915008tx,015915tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,765.0,70.1961,13.3333,11.8954,71.7647,tx
453,015915039tx,015915tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,30.0,36.6667,20.0,6.6667,66.6667,tx
454,015916005tx,015916tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,212.0,76.4151,11.7925,47.1698,37.2642,tx
455,015917002tx,015917tx,015tx,2018,0.0,0.0,0.0,0.0,0.0,48.0,85.4167,4.1667,0.0,95.8333,tx
456,017901001tx,017901tx,017tx,2018,0.0,0.0,0.0,0.0,0.0,88.0,26.1364,79.5455,1.1364,14.7727,tx
457,018901001tx,018901tx,018tx,2018,0.0,0.0,0.0,0.0,0.0,314.0,41.0828,60.1911,2.5478,29.9363,tx
458,018903001tx,018903tx,018tx,2018,0.0,0.0,0.0,0.0,0.0,49.0,75.5102,38.7755,2.0408,57.1429,tx
459,018904001tx,018904tx,018tx,2018,0.0,0.0,0.0,0.0,0.0,217.0,50.2304,67.2811,3.2258,28.5714,tx
460,018905003tx,018905tx,018tx,2018,0.0,0.0,0.0,0.0,0.0,56.0,75.0,46.4286,0.0,53.5714,tx
461,018906001tx,018906tx,018tx,2018,0.0,0.0,0.0,0.0,0.0,41.0,41.4634,68.2927,2.439,29.2683,tx
462,018908001tx,018908tx,018tx,2018,0.0,0.0,0.0,0.0,0.0,39.0,74.359,64.1026,2.5641,33.3333,tx
463,019902002tx,019902tx,019tx,2018,0.0,0.0,0.0,0.0,0.0,375.0,51.7333,68.8,14.6667,9.3333,tx
464,019909001tx,019909tx,019tx,2018,0.0,0.0,0.0,0.0,0.0,180.0,53.8889,90.0,0.0,5.5556,tx
465,020902002tx,020902tx,020tx,2018,0.0,0.0,0.0,0.0,0.0,76.0,72.3684,31.5789,10.5263,56.5789,tx
466,020902003tx,020902tx,020tx,2018,0.0,0.0,0.0,0.0,0.0,13.0,61.5385,38.4615,0.0,53.8462,tx
467,022902001tx,022902tx,022tx,2018,0.0,0.0,0.0,0.0,0.0,16.0,81.25,31.25,0.0,68.75,tx
468,023902001tx,023902tx,023tx,2018,0.0,0.0,0.0,0.0,0.0,66.0,62.1212,45.4545,4.5455,45.4545,tx
469,025904001tx,025904tx,025tx,2018,0.0,0.0,0.0,0.0,0.0,57.0,45.614,66.6667,0.0,31.5789,tx
470,025905001tx,025905tx,025tx,2018,0.0,0.0,0.0,0.0,0.0,109.0,66.9725,77.9817,0.9174,19.2661,tx
471,025906001tx,025906tx,025tx,2018,0.0,0.0,0.0,0.0,0.0,88.0,65.9091,88.6364,1.1364,4.5455,tx
472,025908001tx,025908tx,025tx,2018,0.0,0.0,0.0,0.0,0.0,41.0,51.2195,75.6098,2.439,21.9512,tx
473,026901001tx,026901tx,026tx,2018,0.0,0.0,0.0,0.0,0.0,561.0,46.1676,54.0107,8.7344,35.1159,tx
474,030902001tx,030902tx,030tx,2018,0.0,0.0,0.0,0.0,0.0,431.0,42.6914,82.1346,1.8561,13.9211,tx
475,030906001tx,030906tx,030tx,2018,0.0,0.0,0.0,0.0,0.0,116.0,45.6897,81.8966,0.0,13.7931,tx
476,031901008tx,031901tx,031tx,2018,0.0,0.0,0.0,0.0,0.0,422.0,96.4455,2.6066,0.4739,95.4976,tx
477,031903005tx,031903tx,031tx,2018,0.0,0.0,0.0,0.0,0.0,338.0,62.1302,6.8047,0.8876,91.716,tx
478,031903008tx,031903tx,031tx,2018,0.0,0.0,0.0,0.0,0.0,335.0,59.7015,6.2687,0.2985,90.4478,tx
479,031903118tx,031903tx,031tx,2018,0.0,0.0,0.0,0.0,0.0,259.0,92.278,3.0888,0.0,96.5251,tx
480,031912005tx,031912tx,031tx,2018,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,100.0,tx
481,031916004tx,031916tx,031tx,2018,0.0,0.0,0.0,0.0,0.0,897.0,58.7514,4.4593,1.4493,78.8183,tx
482,031916005tx,031916tx,031tx,2018,0.0,0.0,0.0,0.0,0.0,817.0,41.1261,8.6903,0.7344,76.2546,tx
483,033901001tx,033901tx,033tx,2018,0.0,0.0,0.0,0.0,0.0,50.0,24.0,88.0,2.0,10.0,tx
484,033902001tx,033902tx,033tx,2018,0.0,0.0,0.0,0.0,0.0,221.0,20.362,86.4253,1.81,8.5973,tx
485,033904001tx,033904tx,033tx,2018,0.0,0.0,0.0,0.0,0.0,96.0,35.4167,85.4167,0.0,11.4583,tx
486,034902001tx,034902tx,034tx,2018,0.0,0.0,0.0,0.0,0.0,33.0,75.7576,72.7273,15.1515,6.0606,tx
487,034903001tx,034903tx,034tx,2018,0.0,0.0,0.0,0.0,0.0,373.0,55.496,75.6032,10.7239,9.9196,tx
488,034909001tx,034909tx,034tx,2018,0.0,0.0,0.0,0.0,0.0,73.0,54.7945,91.7808,2.7397,1.3699,tx
489,035903001tx,035903tx,035tx,2018,0.0,0.0,0.0,0.0,0.0,81.0,12.3457,85.1852,2.4691,8.642,tx
490,036902005tx,036902tx,036tx,2018,0.0,0.0,0.0,0.0,0.0,40.0,45.0,62.5,5.0,27.5,tx
491,036902006tx,036902tx,036tx,2018,0.0,0.0,0.0,0.0,0.0,10.0,70.0,70.0,20.0,10.0,tx
492,037904004tx,037904tx,037tx,2018,0.0,0.0,0.0,0.0,0.0,17.0,70.5882,29.4118,47.0588,23.5294,tx
493,037909001tx,037909tx,037tx,2018,0.0,0.0,0.0,0.0,0.0,81.0,54.321,76.5432,4.9383,14.8148,tx
494,039904001tx,039904tx,039tx,2018,0.0,0.0,0.0,0.0,0.0,43.0,48.8372,90.6977,2.3256,4.6512,tx
495,039905001tx,039905tx,039tx,2018,0.0,0.0,0.0,0.0,0.0,50.0,66.0,88.0,0.0,10.0,tx
496,040901001tx,040901tx,040tx,2018,0.0,0.0,0.0,0.0,0.0,101.0,95.0495,10.8911,1.9802,86.1386,tx
497,041901001tx,041901tx,041tx,2018,0.0,0.0,0.0,0.0,0.0,88.0,44.3182,62.5,0.0,36.3636,tx
498,042903001tx,042903tx,042tx,2018,0.0,0.0,0.0,0.0,0.0,73.0,68.4932,65.7534,1.3699,31.5068,tx
499,043801001tx,043801tx,043tx,2018,0.0,0.0,0.0,0.0,0.0,238.0,10.9244,40.3361,8.4034,13.0252,tx
500,043905008tx,043905tx,043tx,2018,0.0,0.0,0.0,0.0,0.0,2226.0,15.9479,46.7655,17.9695,18.6433,tx
501,043905010tx,043905tx,043tx,2018,0.0,0.0,0.0,0.0,0.0,1847.0,5.6308,58.0942,6.5512,11.3156,tx
502,043908001tx,043908tx,043tx,2018,0.0,0.0,0.0,0.0,0.0,867.0,12.8028,68.1661,8.3045,17.6471,tx
503,043910008tx,043910tx,043tx,2018,0.0,0.0,0.0,0.0,0.0,448.0,9.375,60.0446,3.3482,15.8482,tx
504,046902206tx,046902tx,046tx,2018,0.0,0.0,0.0,0.0,0.0,217.0,47.4654,47.4654,3.6866,46.0829,tx
505,047901001tx,047901tx,047tx,2018,0.0,0.0,0.0,0.0,0.0,357.0,61.0644,49.8599,1.4006,46.7787,tx
506,047903001tx,047903tx,047tx,2018,0.0,0.0,0.0,0.0,0.0,38.0,81.5789,31.5789,0.0,65.7895,tx
507,047905001tx,047905tx,047tx,2018,0.0,0.0,0.0,0.0,0.0,41.0,70.7317,82.9268,0.0,17.0732,tx
508,048901001tx,048901tx,048tx,2018,0.0,0.0,0.0,0.0,0.0,64.0,64.0625,34.375,0.0,62.5,tx
509,048903001tx,048903tx,048tx,2018,0.0,0.0,0.0,0.0,0.0,97.0,76.2887,49.4845,0.0,47.4227,tx
510,049902001tx,049902tx,049tx,2018,0.0,0.0,0.0,0.0,0.0,160.0,13.75,91.875,0.0,4.375,tx
511,049907001tx,049907tx,049tx,2018,0.0,0.0,0.0,0.0,0.0,173.0,12.1387,91.9075,0.578,2.3121,tx
512,050901001tx,050901tx,050tx,2018,0.0,0.0,0.0,0.0,0.0,89.0,57.3034,75.2809,0.0,24.7191,tx
513,050909001tx,050909tx,050tx,2018,0.0,0.0,0.0,0.0,0.0,94.0,44.6809,85.1064,0.0,13.8298,tx
514,054903001tx,054903tx,054tx,2018,0.0,0.0,0.0,0.0,0.0,136.0,77.2059,18.3824,1.4706,79.4118,tx
515,056902001tx,056902tx,056tx,2018,0.0,0.0,0.0,0.0,0.0,53.0,54.717,56.6038,1.8868,39.6226,tx
516,057802001tx,057802tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,147.0,87.7551,0.6803,25.1701,74.1497,tx
517,057803002tx,057803tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,546.0,24.5421,12.0879,6.4103,24.359,tx
518,057803010tx,057803tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,446.0,86.5471,0.8969,4.4843,93.2735,tx
519,057808101tx,057808tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,93.0,66.6667,0.0,39.7849,51.6129,tx
520,057808102tx,057808tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,42.0,2.381,9.5238,42.8571,11.9048,tx
521,057814005tx,057814tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,100.0,0.0,tx
522,057819001tx,057819tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,16.0,100.0,0.0,18.75,81.25,tx
523,057845001tx,057845tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,176.0,17.6136,52.2727,9.6591,32.3864,tx
524,057847001tx,057847tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,231.0,20.7792,29.8701,28.1385,32.4675,tx
525,057848006tx,057848tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,560.0,62.5,7.6786,26.25,60.1786,tx
526,057903005tx,057903tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,248.0,79.4355,10.0806,22.9839,64.5161,tx
527,057903010tx,057903tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,339.0,81.4159,4.4248,4.1298,83.4808,tx
528,057905026tx,057905tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,428.0,60.7477,14.486,10.0467,59.1121,tx
529,057905035tx,057905tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,244.0,85.6557,5.7377,13.5246,77.459,tx
530,057905037tx,057905tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,335.0,77.3134,2.3881,27.1642,68.9552,tx
531,057905090tx,057905tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,230.0,84.7826,3.0435,12.1739,83.4783,tx
532,057907007tx,057907tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,7.0,71.4286,0.0,71.4286,28.5714,tx
533,057909053tx,057909tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,335.0,71.0448,16.1194,28.3582,52.8358,tx
534,057910007tx,057910tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,10.0,80.0,0.0,30.0,60.0,tx
535,057914007tx,057914tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,11.0,72.7273,9.0909,36.3636,45.4545,tx
536,057916006tx,057916tx,057tx,2018,0.0,0.0,0.0,0.0,0.0,186.0,71.5054,17.2043,26.3441,52.1505,tx
537,058902001tx,058902tx,058tx,2018,0.0,0.0,0.0,0.0,0.0,24.0,45.8333,41.6667,0.0,45.8333,tx
538,058905001tx,058905tx,058tx,2018,0.0,0.0,0.0,0.0,0.0,61.0,32.7869,67.2131,0.0,29.5082,tx
539,058906001tx,058906tx,058tx,2018,0.0,0.0,0.0,0.0,0.0,542.0,70.2952,16.6052,4.428,77.8598,tx
540,058909001tx,058909tx,058tx,2018,0.0,0.0,0.0,0.0,0.0,58.0,37.931,55.1724,1.7241,39.6552,tx
541,061901005tx,061901tx,061tx,2018,0.0,0.0,0.0,0.0,0.0,188.0,68.0851,30.8511,25.5319,40.4255,tx
542,061910001tx,061910tx,061tx,2018,0.0,0.0,0.0,0.0,0.0,876.0,8.5616,84.3607,1.0274,10.5023,tx
543,062902001tx,062902tx,062tx,2018,0.0,0.0,0.0,0.0,0.0,41.0,60.9756,51.2195,4.878,43.9024,tx
544,063903001tx,063903tx,063tx,2018,0.0,0.0,0.0,0.0,0.0,83.0,57.8313,48.1928,4.8193,46.988,tx
545,063906001tx,063906tx,063tx,2018,0.0,0.0,0.0,0.0,0.0,29.0,79.3103,58.6207,0.0,41.3793,tx
546,065901001tx,065901tx,065tx,2018,0.0,0.0,0.0,0.0,0.0,137.0,45.9854,72.9927,10.9489,12.4088,tx
547,065902001tx,065902tx,065tx,2018,0.0,0.0,0.0,0.0,0.0,41.0,73.1707,63.4146,0.0,31.7073,tx
548,067902004tx,067902tx,067tx,2018,0.0,0.0,0.0,0.0,0.0,13.0,53.8462,76.9231,7.6923,15.3846,tx
549,067908001tx,067908tx,067tx,2018,0.0,0.0,0.0,0.0,0.0,61.0,55.7377,90.1639,0.0,8.1967,tx
550,068901004tx,068901tx,068tx,2018,0.0,0.0,0.0,0.0,0.0,340.0,55.8824,20.0,8.8235,69.1176,tx
551,069901001tx,069901tx,069tx,2018,0.0,0.0,0.0,0.0,0.0,86.0,74.4186,18.6047,0.0,81.3953,tx
552,070901001tx,070901tx,070tx,2018,0.0,0.0,0.0,0.0,0.0,107.0,52.3364,57.9439,4.6729,35.514,tx
553,071801003tx,071801tx,071tx,2018,0.0,0.0,0.0,0.0,0.0,118.0,41.5254,11.0169,2.5424,82.2034,tx
554,071806001tx,071806tx,071tx,2018,0.0,0.0,0.0,0.0,0.0,348.0,76.7241,9.1954,0.5747,88.5057,tx
555,071806002tx,071806tx,071tx,2018,0.0,0.0,0.0,0.0,0.0,206.0,66.0194,12.6214,3.8835,80.5825,tx
556,071902011tx,071902tx,071tx,2018,0.0,0.0,0.0,0.0,0.0,742.0,54.8518,4.8518,2.0216,89.0836,tx
557,071902015tx,071902tx,071tx,2018,0.0,0.0,0.0,0.0,0.0,463.0,58.9633,13.8229,4.3197,77.1058,tx
558,071902027tx,071902tx,071tx,2018,0.0,0.0,0.0,0.0,0.0,55.0,85.4545,5.4545,1.8182,90.9091,tx
559,071905014tx,071905tx,071tx,2018,0.0,0.0,0.0,0.0,0.0,301.0,86.0465,2.99,3.3223,93.6877,tx
560,071905017tx,071905tx,071tx,2018,0.0,0.0,0.0,0.0,0.0,390.0,67.4359,5.1282,0.0,93.8462,tx
561,071907003tx,071907tx,071tx,2018,0.0,0.0,0.0,0.0,0.0,365.0,53.4247,9.0411,3.2877,85.2055,tx
562,071909003tx,071909tx,071tx,2018,0.0,0.0,0.0,0.0,0.0,277.0,82.6715,1.444,2.5271,94.2238,tx
563,071909007tx,071909tx,071tx,2018,0.0,0.0,0.0,0.0,0.0,484.0,72.314,1.4463,1.4463,95.0413,tx
564,072801104tx,072801tx,072tx,2018,0.0,0.0,0.0,0.0,0.0,180.0,87.2222,2.7778,1.1111,95.5556,tx
565,072801107tx,072801tx,072tx,2018,0.0,0.0,0.0,0.0,0.0,137.0,55.4745,5.8394,0.7299,93.4307,tx
566,072801115tx,072801tx,072tx,2018,0.0,0.0,0.0,0.0,0.0,260.0,95.3846,1.9231,0.0,98.0769,tx
567,072801116tx,072801tx,072tx,2018,0.0,0.0,0.0,0.0,0.0,184.0,100.0,2.7174,0.0,97.2826,tx
568,072801128tx,072801tx,072tx,2018,0.0,0.0,0.0,0.0,0.0,161.0,44.0994,37.8882,13.0435,41.6149,tx
569,072801136tx,072801tx,072tx,2018,0.0,0.0,0.0,0.0,0.0,142.0,56.338,54.9296,0.7042,40.8451,tx
570,072801137tx,072801tx,072tx,2018,0.0,0.0,0.0,0.0,0.0,187.0,45.9893,82.8877,0.5348,13.369,tx
571,072801138tx,072801tx,072tx,2018,0.0,0.0,0.0,0.0,0.0,144.0,52.7778,70.8333,2.0833,24.3056,tx
572,072801146tx,072801tx,072tx,2018,0.0,0.0,0.0,0.0,0.0,262.0,89.6947,3.4351,0.3817,96.1832,tx
573,072908001tx,072908tx,072tx,2018,0.0,0.0,0.0,0.0,0.0,65.0,18.4615,78.4615,0.0,16.9231,tx
574,072909001tx,072909tx,072tx,2018,0.0,0.0,0.0,0.0,0.0,77.0,46.7532,53.2468,0.0,45.4545,tx
575,074904001tx,074904tx,074tx,2018,0.0,0.0,0.0,0.0,0.0,95.0,46.3158,91.5789,0.0,4.2105,tx
576,074907001tx,074907tx,074tx,2018,0.0,0.0,0.0,0.0,0.0,218.0,54.1284,68.3486,10.0917,15.5963,tx
577,074911001tx,074911tx,074tx,2018,0.0,0.0,0.0,0.0,0.0,101.0,34.6535,83.1683,1.9802,5.9406,tx
578,074917001tx,074917tx,074tx,2018,0.0,0.0,0.0,0.0,0.0,137.0,36.4964,83.2117,2.9197,10.9489,tx
579,075901001tx,075901tx,075tx,2018,0.0,0.0,0.0,0.0,0.0,151.0,61.5894,36.4238,2.649,58.2781,tx
580,075906001tx,075906tx,075tx,2018,0.0,0.0,0.0,0.0,0.0,92.0,23.913,82.6087,2.1739,15.2174,tx
581,076903001tx,076903tx,076tx,2018,0.0,0.0,0.0,0.0,0.0,91.0,51.6484,68.1319,2.1978,29.6703,tx
582,078901001tx,078901tx,078tx,2018,0.0,0.0,0.0,0.0,0.0,69.0,65.2174,56.5217,4.3478,37.6812,tx
583,079901004tx,079901tx,079tx,2018,0.0,0.0,0.0,0.0,0.0,148.0,62.1622,22.2973,26.3514,47.973,tx
584,079901008tx,079901tx,079tx,2018,0.0,0.0,0.0,0.0,0.0,9.0,88.8889,0.0,33.3333,66.6667,tx
585,079907010tx,079907tx,079tx,2018,0.0,0.0,0.0,0.0,0.0,48.0,75.0,10.4167,66.6667,16.6667,tx
586,079907038tx,079907tx,079tx,2018,0.0,0.0,0.0,0.0,0.0,376.0,69.1489,6.6489,52.1277,34.3085,tx
587,081905002tx,081905tx,081tx,2018,0.0,0.0,0.0,0.0,0.0,160.0,50.0,75.625,9.375,13.125,tx
588,083902001tx,083902tx,083tx,2018,0.0,0.0,0.0,0.0,0.0,37.0,43.2432,40.5405,0.0,59.4595,tx
589,084802001tx,084802tx,084tx,2018,0.0,0.0,0.0,0.0,0.0,91.0,49.4505,40.6593,8.7912,47.2527,tx
590,084903001tx,084903tx,084tx,2018,0.0,0.0,0.0,0.0,0.0,70.0,95.7143,84.2857,0.0,10.0,tx
591,084906014tx,084906tx,084tx,2018,0.0,0.0,0.0,0.0,0.0,9.0,66.6667,11.1111,66.6667,22.2222,tx
592,084910008tx,084910tx,084tx,2018,0.0,0.0,0.0,0.0,0.0,285.0,37.8947,42.4561,21.4035,29.4737,tx
593,084910010tx,084910tx,084tx,2018,0.0,0.0,0.0,0.0,0.0,454.0,36.1233,33.2599,5.5066,25.5507,tx
594,086902001tx,086902tx,086tx,2018,0.0,0.0,0.0,0.0,0.0,210.0,30.9524,83.3333,0.4762,13.8095,tx
595,087901001tx,087901tx,087tx,2018,0.0,0.0,0.0,0.0,0.0,96.0,40.625,52.0833,0.0,47.9167,tx
596,088902001tx,088902tx,088tx,2018,0.0,0.0,0.0,0.0,0.0,435.0,41.8391,49.4253,5.0575,43.4483,tx
597,089903001tx,089903tx,089tx,2018,0.0,0.0,0.0,0.0,0.0,321.0,77.8816,22.1184,1.8692,75.7009,tx
598,090902001tx,090902tx,090tx,2018,0.0,0.0,0.0,0.0,0.0,59.0,57.6271,77.9661,0.0,15.2542,tx
599,091902001tx,091902tx,091tx,2018,0.0,0.0,0.0,0.0,0.0,191.0,39.7906,78.534,0.5236,19.8953,tx
600,091903002tx,091903tx,091tx,2018,0.0,0.0,0.0,0.0,0.0,58.0,74.1379,63.7931,5.1724,20.6897,tx
601,091907101tx,091907tx,091tx,2018,0.0,0.0,0.0,0.0,0.0,150.0,42.6667,72.0,0.0,20.6667,tx
602,091918001tx,091918tx,091tx,2018,0.0,0.0,0.0,0.0,0.0,222.0,40.0901,85.1351,1.3514,7.2072,tx
603,093903001tx,093903tx,093tx,2018,0.0,0.0,0.0,0.0,0.0,147.0,34.6939,80.2721,4.0816,15.6463,tx
604,093905001tx,093905tx,093tx,2018,0.0,0.0,0.0,0.0,0.0,63.0,53.9683,74.6032,12.6984,11.1111,tx
605,094904001tx,094904tx,094tx,2018,0.0,0.0,0.0,0.0,0.0,457.0,41.3567,58.4245,2.1882,36.7615,tx
606,094904003tx,094904tx,094tx,2018,0.0,0.0,0.0,0.0,0.0,16.0,56.25,50.0,6.25,37.5,tx
607,095902001tx,095902tx,095tx,2018,0.0,0.0,0.0,0.0,0.0,41.0,48.7805,36.5854,0.0,63.4146,tx
608,095904001tx,095904tx,095tx,2018,0.0,0.0,0.0,0.0,0.0,71.0,71.831,23.9437,0.0,76.0563,tx
609,096905001tx,096905tx,096tx,2018,0.0,0.0,0.0,0.0,0.0,69.0,52.1739,60.8696,0.0,39.1304,tx
610,098901001tx,098901tx,098tx,2018,0.0,0.0,0.0,0.0,0.0,135.0,55.5556,45.1852,0.0,52.5926,tx
611,098904001tx,098904tx,098tx,2018,0.0,0.0,0.0,0.0,0.0,278.0,56.8345,30.9353,0.0,67.9856,tx
612,100904002tx,100904tx,100tx,2018,0.0,0.0,0.0,0.0,0.0,4.0,50.0,25.0,50.0,25.0,tx
613,100908003tx,100908tx,100tx,2018,0.0,0.0,0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.0,tx
614,101842001tx,101842tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,40.0,55.0,27.5,2.5,67.5,tx
615,101858004tx,101858tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,618.0,60.6796,10.5178,16.8285,53.5599,tx
616,101858005tx,101858tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,298.0,59.396,17.1141,19.1275,45.302,tx
617,101862004tx,101862tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,162.0,50.6173,33.3333,23.4568,30.8642,tx
618,101862005tx,101862tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,243.0,40.3292,29.6296,27.1605,22.2222,tx
619,101902008tx,101902tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,414.0,92.9952,1.6908,13.7681,81.6425,tx
620,101902098tx,101902tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,20.0,95.0,0.0,70.0,30.0,tx
621,101903005tx,101903tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,342.0,88.8889,1.462,37.4269,57.0175,tx
622,101903006tx,101903tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,815.0,65.1534,4.908,12.0245,17.4233,tx
623,101903011tx,101903tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,114.0,85.9649,0.8772,44.7368,54.386,tx
624,101906105tx,101906tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,37.0,70.2703,32.4324,24.3243,43.2432,tx
625,101908007tx,101908tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,13.0,46.1538,23.0769,7.6923,69.2308,tx
626,101911006tx,101911tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,204.0,81.8627,19.1176,27.451,51.4706,tx
627,101911012tx,101911tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,23.0,86.9565,4.3478,34.7826,60.8696,tx
628,101911014tx,101911tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,5.0,60.0,40.0,20.0,40.0,tx
629,101912345tx,101912tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,487.0,86.4476,1.0267,1.848,93.4292,tx
630,101913005tx,101913tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,431.0,38.051,29.9304,13.2251,46.8677,tx
631,101913197tx,101913tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,13.0,76.9231,15.3846,69.2308,15.3846,tx
632,101914003tx,101914tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,262.0,61.0687,30.916,24.8092,36.6412,tx
633,101915038tx,101915tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,422.0,66.8246,18.2464,37.6777,38.8626,tx
634,101917014tx,101917tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,435.0,86.8966,7.3563,13.5632,77.7011,tx
635,101919018tx,101919tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,1216.0,64.7204,8.6349,29.852,53.2072,tx
636,101919022tx,101919tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,237.0,63.2911,5.9072,66.2447,24.4726,tx
637,101924014tx,101924tx,101tx,2018,0.0,0.0,0.0,0.0,0.0,36.0,88.8889,8.3333,33.3333,58.3333,tx
638,102905001tx,102905tx,102tx,2018,0.0,0.0,0.0,0.0,0.0,248.0,41.5323,87.9032,3.2258,7.2581,tx
