,totalenrolled,white,black,hispanic,lowincome,dropout,year,charter,hybridper,virtualper,schoolmode,schoolcode,countycode,districtcode,state
45,47,97.9,0.0,0.0,51.1,5.6,2019,0,0.0,0.0,0.0,10690110260001il,10690il,10690110il,il
46,53,100.0,0.0,0.0,56.6,0.0,2018,0,0.0,0.0,0.0,10690110260001il,10690il,10690110il,il
47,51,100.0,0.0,0.0,51.0,0.0,2017,0,0.0,0.0,0.0,10690110260001il,10690il,10690110il,il
48,190,93.2,0.0,0.0,32.1,1.8,2021,0,0.0,0.0,0.0909,10690270260001il,10690il,10690270il,il
49,180,93.3,0.0,2.8,37.2,0.8,2019,0,0.0,0.0,0.0,10690270260001il,10690il,10690270il,il
50,164,94.5,0.0,0.0,36.6,0.0,2018,0,0.0,0.0,0.0,10690270260001il,10690il,10690270il,il
51,146,93.8,0.0,1.4,32.2,0.0,2017,0,0.0,0.0,0.0,10690270260001il,10690il,10690270il,il
52,916,77.6,8.8,3.4,47.4,8.2,2021,0,0.0,0.0,0.0909,10691170220014il,10691il,10691170il,il
53,970,78.5,7.2,3.4,47.8,11.7,2019,0,0.0,0.0,0.0,10691170220014il,10691il,10691170il,il
54,986,79.5,7.5,3.3,47.4,6.7,2018,0,0.0,0.0,0.0,10691170220014il,10691il,10691170il,il
55,1007,82.0,6.1,2.9,48.1,3.5,2017,0,0.0,0.0,0.0,10691170220014il,10691il,10691170il,il
56,93,98.9,0.0,0.0,59.1,5.5,2021,0,0.2727,0.0,0.1364,10750030260002il,10750il,10750030il,il
57,74,100.0,0.0,0.0,60.8,9.9,2019,0,0.0,0.0,0.0,10750030260002il,10750il,10750030il,il
58,77,98.7,0.0,0.0,49.4,5.2,2018,0,0.0,0.0,0.0,10750030260002il,10750il,10750030il,il
59,79,98.7,1.3,0.0,49.4,3.8,2017,0,0.0,0.0,0.0,10750030260002il,10750il,10750030il,il
60,95,100.0,0.0,0.0,0.0,7.5,2021,0,0.2727,0.0,0.2273,10750040260002il,10750il,10750040il,il
61,84,95.2,4.8,0.0,100.0,8.3,2019,0,0.0,0.0,0.0,10750040260002il,10750il,10750040il,il
62,101,93.1,0.0,0.0,65.3,8.0,2018,0,0.0,0.0,0.0,10750040260002il,10750il,10750040il,il
63,115,97.4,0.0,0.0,60.0,3.5,2017,0,0.0,0.0,0.0,10750040260002il,10750il,10750040il,il
64,323,97.8,0.0,0.0,38.1,5.8,2021,0,0.8182,0.0,0.5,10750100260009il,10750il,10750100il,il
65,323,96.9,0.6,1.2,36.5,4.6,2019,0,0.0,0.0,0.0,10750100260009il,10750il,10750100il,il
66,336,97.3,0.0,0.0,40.2,1.8,2018,0,0.0,0.0,0.0,10750100260009il,10750il,10750100il,il
67,316,98.4,0.6,0.3,42.7,2.2,2017,0,0.0,0.0,0.0,10750100260009il,10750il,10750100il,il
68,124,96.8,0.0,0.0,50.8,6.5,2021,0,0.6364,0.0,0.4091,10750120260001il,10750il,10750120il,il
69,140,95.7,0.0,1.4,62.1,5.2,2019,0,0.0,0.0,0.0,10750120260001il,10750il,10750120il,il
