,totaltested,mathpass,white,black,hispanic,lowincome,charter,year,hybridper,virtualper,schoolmode,schoolcode,countycode,districtcode,state
45,23,21.7,86.96,0.0,0.0,0.0,0,2019,0.0,0.0,0.0,10690270260001il,1069il,1069027026il,il
46,30,40.0,96.67,0.0,0.0,0.0,0,2018,0.0,0.0,0.0,10690270260001il,1069il,1069027026il,il
47,78,22.7,94.87,1.28,0.0,38.46,0,2017,0.0,0.0,0.0,10690270260001il,1069il,1069027026il,il
48,191,22.6,81.15,6.28,0.0,48.69,0,2021,0.0,0.0,0.0909,10691170220014il,1069il,1069117022il,il
49,258,18.8,74.42,8.53,6.2,49.22,0,2019,0.0,0.0,0.0,10691170220014il,1069il,1069117022il,il
50,205,23.5,84.39,6.34,0.0,36.59,0,2018,0.0,0.0,0.0,10691170220014il,1069il,1069117022il,il
51,221,20.5,82.81,2.71,7.69,44.34,0,2017,0.0,0.0,0.0,10691170220014il,1069il,1069117022il,il
52,16,0.0,100.0,0.0,0.0,62.5,0,2021,0.2727,0.0,0.1364,10750030260002il,1075il,1075003026il,il
53,17,11.7,100.0,0.0,0.0,70.59,0,2019,0.0,0.0,0.0,10750030260002il,1075il,1075003026il,il
54,17,11.8,94.12,0.0,0.0,58.82,0,2018,0.0,0.0,0.0,10750030260002il,1075il,1075003026il,il
55,22,13.6,100.0,0.0,0.0,27.27,0,2017,0.0,0.0,0.0,10750030260002il,1075il,1075003026il,il
56,20,5.0,100.0,0.0,0.0,0.0,0,2021,0.2727,0.0,0.2273,10750040260002il,1075il,1075004026il,il
57,26,7.7,92.31,0.0,0.0,100.0,0,2019,0.0,0.0,0.0,10750040260002il,1075il,1075004026il,il
58,21,0.0,100.0,0.0,0.0,71.43,0,2018,0.0,0.0,0.0,10750040260002il,1075il,1075004026il,il
59,26,12.0,100.0,0.0,0.0,53.85,0,2017,0.0,0.0,0.0,10750040260002il,1075il,1075004026il,il
60,76,13.2,97.37,0.0,0.0,36.84,0,2021,0.8182,0.0,0.5,10750100260009il,1075il,1075010026il,il
61,74,24.4,100.0,0.0,0.0,31.08,0,2019,0.0,0.0,0.0,10750100260009il,1075il,1075010026il,il
62,72,29.2,100.0,0.0,0.0,40.28,0,2018,0.0,0.0,0.0,10750100260009il,1075il,1075010026il,il
63,77,31.2,96.1,0.0,2.6,44.16,0,2017,0.0,0.0,0.0,10750100260009il,1075il,1075010026il,il
64,20,25.0,100.0,0.0,0.0,0.0,0,2021,0.6364,0.0,0.4091,10750120260001il,1075il,1075012026il,il
65,34,26.4,91.18,0.0,0.0,52.94,0,2019,0.0,0.0,0.0,10750120260001il,1075il,1075012026il,il
66,36,33.4,97.22,0.0,0.0,63.89,0,2018,0.0,0.0,0.0,10750120260001il,1075il,1075012026il,il
67,38,31.6,97.37,2.63,0.0,44.74,0,2017,0.0,0.0,0.0,10750120260001il,1075il,1075012026il,il
68,52,7.7,96.15,0.0,0.0,40.38,0,2021,0.5455,0.0,0.3636,10860010260001il,1086il,1086001026il,il
69,40,22.5,97.5,0.0,0.0,45.0,0,2019,0.0,0.0,0.0,10860010260001il,1086il,1086001026il,il
70,47,25.5,100.0,0.0,0.0,29.79,0,2018,0.0,0.0,0.0,10860010260001il,1086il,1086001026il,il
71,48,21.7,97.92,0.0,0.0,39.58,0,2017,0.0,0.0,0.0,10860010260001il,1086il,1086001026il,il
72,18,5.6,88.89,0.0,0.0,55.56,0,2021,0.3636,0.0,0.2727,10860020260001il,1086il,1086002026il,il
73,19,15.8,100.0,0.0,0.0,0.0,0,2019,0.0,0.0,0.0,10860020260001il,1086il,1086002026il,il
74,12,8.3,100.0,0.0,0.0,0.0,0,2018,0.0,0.0,0.0,10860020260001il,1086il,1086002026il,il
75,13,15.4,100.0,0.0,0.0,38.46,0,2017,0.0,0.0,0.0,10860020260001il,1086il,1086002026il,il
76,69,27.5,91.3,0.0,0.0,17.39,0,2021,0.0,0.0,0.0909,11012002C260001il,1101il,11012002C26il,il
77,95,30.6,96.84,0.0,0.0,24.21,0,2019,0.0,0.0,0.0,11012002C260001il,1101il,11012002C26il,il
78,97,29.9,95.88,0.0,0.0,29.9,0,2018,0.0,0.0,0.0,11012002C260001il,1101il,11012002C26il,il
79,95,33.3,96.84,0.0,0.0,25.26,0,2017,0.0,0.0,0.0,11012002C260001il,1101il,11012002C26il,il
80,19,15.8,89.47,0.0,0.0,0.0,0,2021,0.0,0.0,0.0909,11012003C260001il,1101il,11012003C26il,il
81,21,19.0,100.0,0.0,0.0,52.38,0,2019,0.0,0.0,0.0,11012003C260001il,1101il,11012003C26il,il
82,28,7.1,96.43,0.0,0.0,67.86,0,2018,0.0,0.0,0.0,11012003C260001il,1101il,11012003C26il,il
83,90,13.8,95.56,3.33,1.11,55.56,0,2017,0.0,0.0,0.0,11012003C260001il,1101il,11012003C26il,il
84,55,18.2,96.36,0.0,0.0,40.0,0,2021,0.3636,0.0,0.2727,11012004C260001il,1101il,11012004C26il,il
85,62,29.5,98.39,0.0,0.0,43.55,0,2019,0.0,0.0,0.0,11012004C260001il,1101il,11012004C26il,il
86,71,25.3,91.55,0.0,0.0,53.52,0,2018,0.0,0.0,0.0,11012004C260001il,1101il,11012004C26il,il
87,191,36.1,95.29,2.62,0.52,39.79,0,2017,0.0,0.0,0.0,11012004C260001il,1101il,11012004C26il,il
88,207,19.8,89.86,0.0,0.0,36.23,0,2021,0.4545,0.0,0.2273,110150010260001il,1101il,11015001026il,il
89,191,32.6,89.01,0.0,0.0,39.79,0,2019,0.0,0.0,0.0,110150010260001il,1101il,11015001026il,il
90,180,31.2,86.67,0.0,0.0,36.11,0,2018,0.0,0.0,0.0,110150010260001il,1101il,11015001026il,il
91,190,36.5,90.0,5.26,1.58,34.21,0,2017,0.0,0.0,0.0,110150010260001il,1101il,11015001026il,il
92,183,14.2,84.15,0.0,0.0,49.18,0,2021,0.3636,0.1818,0.4545,110150020260001il,1101il,11015002026il,il
93,236,36.0,88.14,0.0,5.08,47.46,0,2019,0.0,0.0,0.0,110150020260001il,1101il,11015002026il,il
94,248,26.2,90.32,0.0,4.03,40.73,0,2018,0.0,0.0,0.0,110150020260001il,1101il,11015002026il,il
95,255,23.2,87.45,3.92,4.31,52.94,0,2017,0.0,0.0,0.0,110150020260001il,1101il,11015002026il,il
96,18,16.7,94.44,0.0,0.0,0.0,0,2021,0.0,0.0,0.0909,110150050260002il,1101il,11015005026il,il
97,16,0.0,93.75,0.0,0.0,0.0,0,2019,0.0,0.0,0.0,110150050260002il,1101il,11015005026il,il
98,18,22.3,100.0,0.0,0.0,0.0,0,2018,0.0,0.0,0.0,110150050260002il,1101il,11015005026il,il
99,19,15.8,94.74,0.0,5.26,42.11,0,2017,0.0,0.0,0.0,110150050260002il,1101il,11015005026il,il
100,51,29.4,90.2,0.0,0.0,37.25,0,2021,0.0,0.0,0.0909,110180030260001il,1101il,11018003026il,il
101,48,33.4,97.92,0.0,0.0,0.0,0,2019,0.0,0.0,0.0,110180030260001il,1101il,11018003026il,il
102,40,35.0,95.0,0.0,0.0,42.5,0,2018,0.0,0.0,0.0,110180030260001il,1101il,11018003026il,il
103,183,37.8,96.72,0.0,0.55,45.9,0,2017,0.0,0.0,0.0,110180030260001il,1101il,11018003026il,il
104,63,19.1,96.83,0.0,0.0,36.51,0,2021,0.7273,0.0,0.4545,110180770260001il,1101il,11018077026il,il
105,69,26.0,97.1,0.0,0.0,31.88,0,2019,0.0,0.0,0.0,110180770260001il,1101il,11018077026il,il
106,62,12.9,98.39,0.0,0.0,40.32,0,2018,0.0,0.0,0.0,110180770260001il,1101il,11018077026il,il
107,65,20.3,96.92,0.0,0.0,27.69,0,2017,0.0,0.0,0.0,110180770260001il,1101il,11018077026il,il
108,64,23.4,87.5,0.0,0.0,35.94,0,2021,0.0,0.0,0.0909,110213010260001il,1102il,11021301026il,il
109,69,29.4,95.65,0.0,0.0,27.54,0,2019,0.0,0.0,0.0,110213010260001il,1102il,11021301026il,il
110,67,40.3,97.01,0.0,0.0,19.4,0,2018,0.0,0.0,0.0,110213010260001il,1102il,11021301026il,il
111,73,35.6,91.78,2.74,0.0,23.29,0,2017,0.0,0.0,0.0,110213010260001il,1102il,11021301026il,il
112,45,15.5,93.33,0.0,0.0,35.56,0,2021,0.4545,0.0,0.3182,110213020260001il,1102il,11021302026il,il
113,55,14.5,100.0,0.0,0.0,30.91,0,2019,0.0,0.0,0.0,110213020260001il,1102il,11021302026il,il
114,38,7.9,97.37,0.0,0.0,36.84,0,2018,0.0,0.0,0.0,110213020260001il,1102il,11021302026il,il
115,45,28.9,95.56,2.22,0.0,26.67,0,2017,0.0,0.0,0.0,110213020260001il,1102il,11021302026il,il
116,68,23.5,94.12,0.0,0.0,39.71,0,2021,0.0,0.0,0.0909,110213050260001il,1102il,11021305026il,il
117,78,24.3,94.87,0.0,0.0,41.03,0,2019,0.0,0.0,0.0,110213050260001il,1102il,11021305026il,il
118,76,27.6,94.74,0.0,0.0,34.21,0,2018,0.0,0.0,0.0,110213050260001il,1102il,11021305026il,il
119,64,39.1,96.88,1.56,0.0,29.69,0,2017,0.0,0.0,0.0,110213050260001il,1102il,11021305026il,il
120,57,10.5,54.39,0.0,43.86,49.12,0,2021,0.0,0.0,0.0909,110213060260001il,1102il,11021306026il,il
121,55,9.1,52.73,0.0,45.45,36.36,0,2019,0.0,0.0,0.0,110213060260001il,1102il,11021306026il,il
122,52,13.4,48.08,0.0,51.92,67.31,0,2018,0.0,0.0,0.0,110213060260001il,1102il,11021306026il,il
123,172,20.5,58.14,40.7,0.58,38.37,0,2017,0.0,0.0,0.0,110213060260001il,1102il,11021306026il,il
124,27,3.7,88.89,0.0,0.0,44.44,0,2021,0.5455,0.0,0.3636,110230010260001il,1102il,11023001026il,il
125,21,4.8,95.24,0.0,0.0,0.0,0,2019,0.0,0.0,0.0,110230010260001il,1102il,11023001026il,il
126,29,6.9,89.66,0.0,0.0,48.28,0,2018,0.0,0.0,0.0,110230010260001il,1102il,11023001026il,il
127,113,12.9,93.81,0.0,0.88,44.25,0,2017,0.0,0.0,0.0,110230010260001il,1102il,11023001026il,il
128,12,16.7,100.0,0.0,0.0,0.0,0,2021,0.0,0.0,0.0909,110230030260001il,1102il,11023003026il,il
129,12,8.3,100.0,0.0,0.0,0.0,0,2019,0.0,0.0,0.0,110230030260001il,1102il,11023003026il,il
130,18,38.9,94.44,0.0,0.0,0.0,0,2018,0.0,0.0,0.0,110230030260001il,1102il,11023003026il,il
131,57,38.9,98.25,1.75,0.0,52.63,0,2017,0.0,0.0,0.0,110230030260001il,1102il,11023003026il,il
132,23,8.6,91.3,0.0,0.0,43.48,0,2021,0.0909,0.0,0.1364,110230060260001il,1102il,11023006026il,il
133,25,8.0,100.0,0.0,0.0,0.0,0,2019,0.0,0.0,0.0,110230060260001il,1102il,11023006026il,il
134,27,3.7,96.3,0.0,0.0,44.44,0,2018,0.0,0.0,0.0,110230060260001il,1102il,11023006026il,il
135,21,5.0,100.0,0.0,0.0,23.81,0,2017,0.0,0.0,0.0,110230060260001il,1102il,11023006026il,il
136,108,14.0,94.44,0.0,0.0,42.59,0,2021,0.0,0.0,0.0909,110238000800001il,1102il,11023800080il,il
137,142,26.0,97.89,0.0,0.0,37.32,0,2019,0.0,0.0,0.0,110238000800001il,1102il,11023800080il,il
138,109,26.7,98.17,0.0,0.0,30.28,0,2018,0.0,0.0,0.0,110238000800001il,1102il,11023800080il,il
139,162,20.9,96.3,1.23,0.0,43.83,0,2017,0.0,0.0,0.0,110238000800001il,1102il,11023800080il,il
140,66,16.7,89.39,0.0,0.0,31.82,0,2021,0.4545,0.0,0.3182,110703000260004il,1107il,11070300026il,il
141,72,15.3,97.22,0.0,0.0,36.11,0,2019,0.0,0.0,0.0,110703000260004il,1107il,11070300026il,il
142,69,28.9,88.41,0.0,0.0,44.93,0,2018,0.0,0.0,0.0,110703000260004il,1107il,11070300026il,il
143,82,30.0,92.68,2.44,1.22,46.34,0,2017,0.0,0.0,0.0,110703000260004il,1107il,11070300026il,il
144,39,7.7,100.0,0.0,0.0,43.59,0,2021,0.4545,0.0,0.3182,110703020260001il,1107il,11070302026il,il
145,41,10.3,97.56,0.0,0.0,41.46,0,2019,0.0,0.0,0.0,110703020260001il,1107il,11070302026il,il
146,43,7.0,97.67,0.0,0.0,44.19,0,2018,0.0,0.0,0.0,110703020260001il,1107il,11070302026il,il
147,47,14.9,97.87,0.0,0.0,34.04,0,2017,0.0,0.0,0.0,110703020260001il,1107il,11070302026il,il
