,year,schoolcode,dropout,districtcode,countycode,lowincome,white,black,hispanic,state,totalenrolled,schoolmode,virtualper,schoolmode,hybridper,charter
1121,2017,220202040002nyc,4.0,220202nyc,220nyc,48,98,2,0,nyc,175,0.0,0.0,0.0,0.0,0
1122,2018,220202040002nyc,3.0,220202nyc,220nyc,49,96,2,1,nyc,173,0.0,0.0,0.0,0.0,0
1123,2019,220202040002nyc,0.0,220202nyc,220nyc,42,96,2,1,nyc,163,0.0,0.0,0.0,0.0,0
1124,2021,220202040002nyc,0.0,220202nyc,220nyc,53,94,1,1,nyc,158,0.14,0.0,0.14,0.28,0
1126,2017,220301060007nyc,3.0,220301nyc,220nyc,46,70,10,12,nyc,853,0.0,0.0,0.0,0.0,0
1127,2018,220301060007nyc,3.0,220301nyc,220nyc,50,72,10,11,nyc,858,0.0,0.0,0.0,0.0,0
1128,2019,220301060007nyc,3.0,220301nyc,220nyc,53,72,10,11,nyc,826,0.0,0.0,0.0,0.0,0
1129,2021,220301060007nyc,3.0,220301nyc,220nyc,44,71,9,10,nyc,761,0.48,0.0,0.48,0.96,0
1131,2017,220401040004nyc,6.0,220401nyc,220nyc,43,96,2,1,nyc,416,0.0,0.0,0.0,0.0,0
1132,2018,220401040004nyc,4.0,220401nyc,220nyc,38,94,2,2,nyc,387,0.0,0.0,0.0,0.0,0
1133,2019,220401040004nyc,4.0,220401nyc,220nyc,34,93,2,2,nyc,403,0.0,0.0,0.0,0.0,0
1134,2021,220401040004nyc,2.0,220401nyc,220nyc,41,94,2,1,nyc,398,0.46,0.0,0.46,0.92,0
1136,2017,220701040003nyc,1.0,220701nyc,220nyc,41,94,2,2,nyc,308,0.0,0.0,0.0,0.0,0
1137,2018,220701040003nyc,1.0,220701nyc,220nyc,44,94,1,2,nyc,304,0.0,0.0,0.0,0.0,0
1138,2019,220701040003nyc,1.0,220701nyc,220nyc,46,92,1,2,nyc,297,0.0,0.0,0.0,0.0,0
1139,2021,220701040003nyc,5.0,220701nyc,220nyc,39,90,2,4,nyc,241,0.46,0.0,0.46,0.92,0
1141,2017,220909040010nyc,3.0,220909nyc,220nyc,60,91,1,3,nyc,129,0.0,0.0,0.0,0.0,0
1142,2018,220909040010nyc,0.0,220909nyc,220nyc,59,91,1,3,nyc,113,0.0,0.0,0.0,0.0,0
1143,2019,220909040010nyc,12.0,220909nyc,220nyc,57,91,1,4,nyc,120,0.0,0.0,0.0,0.0,0
1144,2021,220909040010nyc,3.0,220909nyc,220nyc,56,93,0,4,nyc,129,0.48,0.0,0.48,0.96,0
1146,2017,221001040001nyc,7.0,221001nyc,221nyc,41,93,0,5,nyc,153,0.0,0.0,0.0,0.0,0
1147,2018,221001040001nyc,0.0,221001nyc,221nyc,39,90,1,6,nyc,131,0.0,0.0,0.0,0.0,0
1148,2019,221001040001nyc,3.0,221001nyc,221nyc,42,90,1,5,nyc,129,0.0,0.0,0.0,0.0,0
1149,2021,221001040001nyc,0.0,221001nyc,221nyc,34,87,1,9,nyc,118,0.46,0.0,0.46,0.92,0
1151,2017,221301040001nyc,0.0,221301nyc,221nyc,54,95,4,0,nyc,92,0.0,0.0,0.0,0.0,0
1152,2018,221301040001nyc,0.0,221301nyc,221nyc,52,96,2,0,nyc,102,0.0,0.0,0.0,0.0,0
1153,2019,221301040001nyc,3.0,221301nyc,221nyc,51,93,1,3,nyc,102,0.0,0.0,0.0,0.0,0
1154,2021,221301040001nyc,0.0,221301nyc,221nyc,52,92,3,3,nyc,110,0.0,0.0,0.0,0.0,0
1156,2017,221401040001nyc,3.0,221401nyc,221nyc,58,92,1,2,nyc,164,0.0,0.0,0.0,0.0,0
1157,2018,221401040001nyc,8.0,221401nyc,221nyc,57,92,0,2,nyc,174,0.0,0.0,0.0,0.0,0
1158,2019,221401040001nyc,4.0,221401nyc,221nyc,60,93,0,1,nyc,156,0.0,0.0,0.0,0.0,0
1159,2021,221401040001nyc,5.0,221401nyc,221nyc,59,93,1,3,nyc,129,0.3,0.0,0.3,0.6,0
1161,2017,222000010016nyc,15.0,222000nyc,222nyc,65,72,9,9,nyc,1022,0.0,0.0,0.0,0.0,0
1162,2018,222000010016nyc,15.0,222000nyc,222nyc,74,73,8,10,nyc,1013,0.0,0.0,0.0,0.0,0
1163,2019,222000010016nyc,16.0,222000nyc,222nyc,70,72,8,10,nyc,974,0.0,0.0,0.0,0.0,0
1164,2021,222000010016nyc,9.0,222000nyc,222nyc,72,72,9,10,nyc,1032,0.52,0.12,0.52,0.8,0
1166,2017,222201060001nyc,7.0,222201nyc,222nyc,48,78,5,8,nyc,949,0.0,0.0,0.0,0.0,0
1167,2018,222201060001nyc,8.0,222201nyc,222nyc,50,79,4,7,nyc,898,0.0,0.0,0.0,0.0,0
1168,2019,222201060001nyc,4.0,222201nyc,222nyc,50,77,6,8,nyc,907,0.0,0.0,0.0,0.0,0
1169,2021,222201060001nyc,3.0,222201nyc,222nyc,49,76,4,10,nyc,836,0.52,0.12,0.52,0.8,0
1171,2017,230201040001nyc,0.0,230201nyc,230nyc,47,93,1,4,nyc,133,0.0,0.0,0.0,0.0,0
1172,2018,230201040001nyc,0.0,230201nyc,230nyc,52,93,2,4,nyc,129,0.0,0.0,0.0,0.0,0
1173,2019,230201040001nyc,0.0,230201nyc,230nyc,41,93,1,4,nyc,124,0.0,0.0,0.0,0.0,0
1174,2021,230201040001nyc,3.0,230201nyc,230nyc,49,94,1,3,nyc,128,0.0,0.0,0.0,0.0,0
1176,2017,230301040002nyc,3.0,230301nyc,230nyc,52,97,0,1,nyc,142,0.0,0.0,0.0,0.0,0
1177,2018,230301040002nyc,0.0,230301nyc,230nyc,55,94,1,2,nyc,138,0.0,0.0,0.0,0.0,0
1178,2019,230301040002nyc,0.0,230301nyc,230nyc,54,95,1,2,nyc,142,0.0,0.0,0.0,0.0,0
1179,2021,230301040002nyc,11.0,230301nyc,230nyc,53,93,0,3,nyc,119,0.22,0.0,0.22,0.44,0
1181,2017,230901040002nyc,3.0,230901nyc,230nyc,44,95,2,1,nyc,417,0.0,0.0,0.0,0.0,0
1182,2018,230901040002nyc,3.0,230901nyc,230nyc,47,94,2,1,nyc,397,0.0,0.0,0.0,0.0,0
1183,2019,230901040002nyc,3.0,230901nyc,230nyc,48,95,3,1,nyc,381,0.0,0.0,0.0,0.0,0
1184,2021,230901040002nyc,5.0,230901nyc,230nyc,46,95,3,2,nyc,366,0.46,0.0,0.46,0.92,0
1186,2017,231101040007nyc,6.0,231101nyc,231nyc,65,92,1,2,nyc,302,0.0,0.0,0.0,0.0,0
1187,2018,231101040007nyc,5.0,231101nyc,231nyc,61,93,1,2,nyc,307,0.0,0.0,0.0,0.0,0
1188,2019,231101040007nyc,8.0,231101nyc,231nyc,62,93,1,2,nyc,291,0.0,0.0,0.0,0.0,0
1189,2021,231101040007nyc,6.0,231101nyc,231nyc,61,95,1,1,nyc,281,0.5,0.04,0.5,0.92,0
1191,2017,231301040002nyc,2.0,231301nyc,231nyc,49,96,2,1,nyc,265,0.0,0.0,0.0,0.0,0
1192,2018,231301040002nyc,2.0,231301nyc,231nyc,49,95,2,2,nyc,269,0.0,0.0,0.0,0.0,0
1193,2019,231301040002nyc,3.0,231301nyc,231nyc,48,97,1,2,nyc,254,0.0,0.0,0.0,0.0,0
1194,2021,231301040002nyc,7.0,231301nyc,231nyc,51,98,0,1,nyc,249,0.46,0.0,0.46,0.92,0
1196,2017,240101040002nyc,1.0,240101nyc,240nyc,25,92,2,2,nyc,314,0.0,0.0,0.0,0.0,0
1197,2018,240101040002nyc,4.0,240101nyc,240nyc,24,90,1,4,nyc,323,0.0,0.0,0.0,0.0,0
1198,2019,240101040002nyc,9.0,240101nyc,240nyc,26,92,2,5,nyc,321,0.0,0.0,0.0,0.0,0
1199,2021,240101040002nyc,0.0,240101nyc,240nyc,28,93,1,3,nyc,335,0.46,0.0,0.46,0.92,0
1201,2017,240201040002nyc,8.0,240201nyc,240nyc,31,93,3,1,nyc,269,0.0,0.0,0.0,0.0,0
1202,2018,240201040002nyc,4.0,240201nyc,240nyc,32,94,3,2,nyc,267,0.0,0.0,0.0,0.0,0
1203,2019,240201040002nyc,8.0,240201nyc,240nyc,34,94,2,2,nyc,240,0.0,0.0,0.0,0.0,0
1204,2021,240201040002nyc,4.0,240201nyc,240nyc,31,93,3,2,nyc,215,0.14,0.0,0.14,0.28,0
1206,2017,240401040001nyc,0.0,240401nyc,240nyc,34,86,2,7,nyc,294,0.0,0.0,0.0,0.0,0
1207,2018,240401040001nyc,3.0,240401nyc,240nyc,37,86,2,6,nyc,269,0.0,0.0,0.0,0.0,0
1208,2019,240401040001nyc,0.0,240401nyc,240nyc,37,86,2,8,nyc,245,0.0,0.0,0.0,0.0,0
1209,2021,240401040001nyc,0.0,240401nyc,240nyc,37,83,2,11,nyc,254,0.46,0.0,0.46,0.92,0
1211,2017,240801060002nyc,3.0,240801nyc,240nyc,32,97,1,1,nyc,511,0.0,0.0,0.0,0.0,0
1212,2018,240801060002nyc,7.0,240801nyc,240nyc,33,96,1,2,nyc,500,0.0,0.0,0.0,0.0,0
1213,2019,240801060002nyc,4.0,240801nyc,240nyc,35,95,1,3,nyc,479,0.0,0.0,0.0,0.0,0
1214,2021,240801060002nyc,1.0,240801nyc,240nyc,36,94,1,3,nyc,506,0.0,0.0,0.0,0.0,0
1216,2017,240901040001nyc,3.0,240901nyc,240nyc,68,64,4,31,nyc,164,0.0,0.0,0.0,0.0,0
1217,2018,240901040001nyc,5.0,240901nyc,240nyc,69,64,2,31,nyc,135,0.0,0.0,0.0,0.0,0
1218,2019,240901040001nyc,8.0,240901nyc,240nyc,65,64,3,31,nyc,145,0.0,0.0,0.0,0.0,0
1219,2021,240901040001nyc,3.0,240901nyc,240nyc,59,65,3,29,nyc,135,0.04,0.04,0.04,0.0,0
1221,2017,241001060003nyc,5.0,241001nyc,241nyc,52,94,2,3,nyc,442,0.0,0.0,0.0,0.0,0
1222,2018,241001060003nyc,8.0,241001nyc,241nyc,55,95,1,2,nyc,441,0.0,0.0,0.0,0.0,0
1223,2019,241001060003nyc,5.0,241001nyc,241nyc,53,95,1,2,nyc,458,0.0,0.0,0.0,0.0,0
1224,2021,241001060003nyc,9.0,241001nyc,241nyc,51,94,2,3,nyc,405,0.46,0.04,0.46,0.84,0
1226,2017,241101040003nyc,2.0,241101nyc,241nyc,44,98,0,1,nyc,233,0.0,0.0,0.0,0.0,0
1227,2018,241101040003nyc,2.0,241101nyc,241nyc,43,98,1,1,nyc,214,0.0,0.0,0.0,0.0,0
1228,2019,241101040003nyc,5.0,241101nyc,241nyc,45,97,1,1,nyc,196,0.0,0.0,0.0,0.0,0
1229,2021,241101040003nyc,5.0,241101nyc,241nyc,47,97,1,1,nyc,178,0.46,0.0,0.46,0.92,0
1231,2017,241701040004nyc,1.0,241701nyc,241nyc,43,93,1,1,nyc,224,0.0,0.0,0.0,0.0,0
1232,2018,241701040004nyc,0.0,241701nyc,241nyc,43,94,1,1,nyc,207,0.0,0.0,0.0,0.0,0
1233,2019,241701040004nyc,2.0,241701nyc,241nyc,42,95,0,1,nyc,227,0.0,0.0,0.0,0.0,0
1234,2021,241701040004nyc,6.0,241701nyc,241nyc,44,95,0,3,nyc,225,0.46,0.0,0.46,0.92,0
1236,2017,250109040001nyc,0.0,250109nyc,250nyc,58,96,1,1,nyc,67,0.0,0.0,0.0,0.0,0
1237,2018,250109040001nyc,6.0,250109nyc,250nyc,59,95,1,1,nyc,73,0.0,0.0,0.0,0.0,0
1238,2019,250109040001nyc,6.0,250109nyc,250nyc,54,98,0,1,nyc,66,0.0,0.0,0.0,0.0,0
1239,2021,250109040001nyc,0.0,250109nyc,250nyc,60,99,0,0,nyc,55,0.46,0.2,0.46,0.52,0
1241,2017,250201060002nyc,3.0,250201nyc,250nyc,19,94,2,2,nyc,526,0.0,0.0,0.0,0.0,0
1242,2018,250201060002nyc,2.0,250201nyc,250nyc,21,94,1,2,nyc,509,0.0,0.0,0.0,0.0,0
1243,2019,250201060002nyc,3.0,250201nyc,250nyc,21,93,1,3,nyc,500,0.0,0.0,0.0,0.0,0
1244,2021,250201060002nyc,1.0,250201nyc,250nyc,24,93,1,4,nyc,446,0.0,0.0,0.0,0.0,0
1246,2017,250301040001nyc,0.0,250301nyc,250nyc,57,90,5,4,nyc,122,0.0,0.0,0.0,0.0,0
1247,2018,250301040001nyc,4.0,250301nyc,250nyc,60,90,5,4,nyc,110,0.0,0.0,0.0,0.0,0
1248,2019,250301040001nyc,4.0,250301nyc,250nyc,60,90,5,4,nyc,105,0.0,0.0,0.0,0.0,0
1249,2021,250301040001nyc,6.0,250301nyc,250nyc,53,90,3,4,nyc,100,0.08,0.0,0.08,0.16,0
1251,2017,250401040004nyc,4.0,250401nyc,250nyc,58,93,2,2,nyc,201,0.0,0.0,0.0,0.0,0
1252,2018,250401040004nyc,7.0,250401nyc,250nyc,58,94,2,1,nyc,199,0.0,0.0,0.0,0.0,0
1253,2019,250401040004nyc,8.0,250401nyc,250nyc,53,95,1,1,nyc,191,0.0,0.0,0.0,0.0,0
1254,2021,250401040004nyc,6.0,250401nyc,250nyc,50,95,0,1,nyc,172,0.0,0.0,0.0,0.0,0
1256,2017,250701040001nyc,5.0,250701nyc,250nyc,31,94,2,3,nyc,144,0.0,0.0,0.0,0.0,0
1257,2018,250701040001nyc,7.0,250701nyc,250nyc,33,94,1,2,nyc,148,0.0,0.0,0.0,0.0,0
1258,2019,250701040001nyc,6.0,250701nyc,250nyc,28,94,1,2,nyc,166,0.0,0.0,0.0,0.0,0
1259,2021,250701040001nyc,2.0,250701nyc,250nyc,32,92,3,2,nyc,172,0.46,0.0,0.46,0.92,0
1261,2017,250901060004nyc,6.0,250901nyc,250nyc,55,90,1,3,nyc,428,0.0,0.0,0.0,0.0,0
1262,2018,250901060004nyc,6.0,250901nyc,250nyc,58,91,1,3,nyc,415,0.0,0.0,0.0,0.0,0
1263,2019,250901060004nyc,9.0,250901nyc,250nyc,50,90,1,3,nyc,382,0.0,0.0,0.0,0.0,0
1264,2021,250901060004nyc,3.0,250901nyc,250nyc,49,89,2,3,nyc,371,0.46,0.0,0.46,0.92,0
1266,2017,251101040003nyc,3.0,251101nyc,251nyc,48,98,1,1,nyc,139,0.0,0.0,0.0,0.0,0
1267,2018,251101040003nyc,5.0,251101nyc,251nyc,54,98,1,0,nyc,147,0.0,0.0,0.0,0.0,0
1268,2019,251101040003nyc,0.0,251101nyc,251nyc,56,99,0,0,nyc,129,0.0,0.0,0.0,0.0,0
1269,2021,251101040003nyc,3.0,251101nyc,251nyc,55,98,1,1,nyc,138,0.28,0.08,0.28,0.4,0
1271,2017,251400010009nyc,10.0,251400nyc,251nyc,43,94,1,1,nyc,621,0.0,0.0,0.0,0.0,0
1272,2018,251400010009nyc,11.0,251400nyc,251nyc,45,92,1,2,nyc,610,0.0,0.0,0.0,0.0,0
1273,2019,251400010009nyc,11.0,251400nyc,251nyc,45,91,1,2,nyc,585,0.0,0.0,0.0,0.0,0
1274,2021,251400010009nyc,8.0,251400nyc,251nyc,45,89,1,2,nyc,601,0.5,0.08,0.5,0.84,0
1276,2017,251501040001nyc,5.0,251501nyc,251nyc,54,91,0,3,nyc,139,0.0,0.0,0.0,0.0,0
1277,2018,251501040001nyc,7.0,251501nyc,251nyc,52,93,0,3,nyc,120,0.0,0.0,0.0,0.0,0
1278,2019,251501040001nyc,3.0,251501nyc,251nyc,55,93,0,2,nyc,119,0.0,0.0,0.0,0.0,0
1279,2021,251501040001nyc,4.0,251501nyc,251nyc,51,94,0,2,nyc,119,0.04,0.04,0.04,0.0,0
1281,2017,251601060005nyc,4.0,251601nyc,251nyc,39,91,2,3,nyc,600,0.0,0.0,0.0,0.0,0
1282,2018,251601060005nyc,4.0,251601nyc,251nyc,38,92,2,3,nyc,637,0.0,0.0,0.0,0.0,0
1283,2019,251601060005nyc,6.0,251601nyc,251nyc,39,92,2,3,nyc,632,0.0,0.0,0.0,0.0,0
1284,2021,251601060005nyc,4.0,251601nyc,251nyc,37,92,1,3,nyc,626,0.48,0.0,0.48,0.96,0
1286,2017,260101060004nyc,0.0,260101nyc,260nyc,15,72,8,4,nyc,1139,0.0,0.0,0.0,0.0,0
1287,2018,260101060004nyc,1.0,260101nyc,260nyc,19,71,9,4,nyc,1129,0.0,0.0,0.0,0.0,0
1288,2019,260101060004nyc,0.0,260101nyc,260nyc,23,71,9,5,nyc,1162,0.0,0.0,0.0,0.0,0
1289,2021,260101060004nyc,1.0,260101nyc,260nyc,21,70,7,6,nyc,1223,0.46,0.0,0.46,0.92,0
1291,2017,260401060001nyc,5.0,260401nyc,260nyc,42,59,20,12,nyc,1311,0.0,0.0,0.0,0.0,0
1292,2018,260401060001nyc,3.0,260401nyc,260nyc,45,60,19,11,nyc,1299,0.0,0.0,0.0,0.0,0
1293,2019,260401060001nyc,3.0,260401nyc,260nyc,47,58,18,12,nyc,1283,0.0,0.0,0.0,0.0,0
1294,2021,260401060001nyc,3.0,260401nyc,260nyc,50,57,18,12,nyc,1207,0.44,0.0,0.44,0.88,0
1296,2017,260501060008nyc,1.0,260501nyc,260nyc,61,58,20,14,nyc,641,0.0,0.0,0.0,0.0,0
1297,2018,260501060008nyc,0.0,260501nyc,260nyc,69,55,21,15,nyc,622,0.0,0.0,0.0,0.0,0
1298,2019,260501060008nyc,0.0,260501nyc,260nyc,70,52,21,16,nyc,630,0.0,0.0,0.0,0.0,0
1299,2021,260501060008nyc,1.0,260501nyc,260nyc,70,50,20,17,nyc,642,0.46,0.0,0.46,0.92,0
1301,2017,260501060010nyc,4.0,260501nyc,260nyc,50,71,13,12,nyc,1101,0.0,0.0,0.0,0.0,0
1302,2018,260501060010nyc,4.0,260501nyc,260nyc,57,68,14,13,nyc,1106,0.0,0.0,0.0,0.0,0
1303,2019,260501060010nyc,0.0,260501nyc,260nyc,56,65,14,14,nyc,1090,0.0,0.0,0.0,0.0,0
1304,2021,260501060010nyc,1.0,260501nyc,260nyc,57,63,14,16,nyc,1073,0.46,0.0,0.46,0.92,0
1306,2017,260501060013nyc,0.0,260501nyc,260nyc,51,65,14,15,nyc,628,0.0,0.0,0.0,0.0,0
1307,2018,260501060013nyc,0.0,260501nyc,260nyc,60,61,14,17,nyc,615,0.0,0.0,0.0,0.0,0
1308,2019,260501060013nyc,0.0,260501nyc,260nyc,64,58,16,19,nyc,583,0.0,0.0,0.0,0.0,0
1309,2021,260501060013nyc,1.0,260501nyc,260nyc,68,52,17,20,nyc,565,0.46,0.0,0.46,0.92,0
1311,2017,260501060019nyc,2.0,260501nyc,260nyc,43,68,15,11,nyc,1089,0.0,0.0,0.0,0.0,0
1312,2018,260501060019nyc,1.0,260501nyc,260nyc,50,66,16,11,nyc,1110,0.0,0.0,0.0,0.0,0
1313,2019,260501060019nyc,1.0,260501nyc,260nyc,50,66,16,10,nyc,1070,0.0,0.0,0.0,0.0,0
1314,2021,260501060019nyc,1.0,260501nyc,260nyc,48,61,15,14,nyc,1031,0.46,0.0,0.46,0.92,0
1316,2017,260801060006nyc,4.0,260801nyc,260nyc,54,51,22,19,nyc,973,0.0,0.0,0.0,0.0,0
1317,2018,260801060006nyc,3.0,260801nyc,260nyc,59,48,22,21,nyc,978,0.0,0.0,0.0,0.0,0
1318,2019,260801060006nyc,6.0,260801nyc,260nyc,58,48,22,21,nyc,944,0.0,0.0,0.0,0.0,0
1319,2021,260801060006nyc,4.0,260801nyc,260nyc,63,43,24,26,nyc,902,0.46,0.0,0.46,0.92,0
1321,2017,260803060005nyc,2.0,260803nyc,260nyc,27,72,11,11,nyc,1164,0.0,0.0,0.0,0.0,0
1322,2018,260803060005nyc,1.0,260803nyc,260nyc,33,72,12,10,nyc,1147,0.0,0.0,0.0,0.0,0
1323,2019,260803060005nyc,1.0,260803nyc,260nyc,37,69,12,12,nyc,1165,0.0,0.0,0.0,0.0,0
1324,2021,260803060005nyc,1.0,260803nyc,260nyc,38,69,12,12,nyc,1123,0.46,0.0,0.46,0.92,0
1326,2017,260901060004nyc,0.0,260901nyc,260nyc,14,93,1,3,nyc,751,0.0,0.0,0.0,0.0,0
1327,2018,260901060004nyc,0.0,260901nyc,260nyc,15,91,1,3,nyc,749,0.0,0.0,0.0,0.0,0
1328,2019,260901060004nyc,2.0,260901nyc,260nyc,16,92,1,2,nyc,734,0.0,0.0,0.0,0.0,0
1329,2021,260901060004nyc,0.0,260901nyc,260nyc,17,91,0,3,nyc,713,0.46,0.0,0.46,0.92,0
1331,2017,261001060001nyc,6.0,261001nyc,261nyc,31,84,5,4,nyc,1174,0.0,0.0,0.0,0.0,0
1332,2018,261001060001nyc,4.0,261001nyc,261nyc,33,83,5,5,nyc,1160,0.0,0.0,0.0,0.0,0
1333,2019,261001060001nyc,4.0,261001nyc,261nyc,31,82,5,6,nyc,1128,0.0,0.0,0.0,0.0,0
1334,2021,261001060001nyc,4.0,261001nyc,261nyc,34,80,5,8,nyc,1119,0.46,0.0,0.46,0.92,0
1336,2017,261101060004nyc,2.0,261101nyc,261nyc,28,89,3,5,nyc,1430,0.0,0.0,0.0,0.0,0
1337,2018,261101060004nyc,3.0,261101nyc,261nyc,27,89,2,5,nyc,1430,0.0,0.0,0.0,0.0,0
1338,2019,261101060004nyc,2.0,261101nyc,261nyc,27,89,3,5,nyc,1479,0.0,0.0,0.0,0.0,0
1339,2021,261101060004nyc,2.0,261101nyc,261nyc,24,89,2,5,nyc,1392,0.46,0.0,0.46,0.92,0
1341,2017,261201060006nyc,0.0,261201nyc,261nyc,17,85,4,6,nyc,1453,0.0,0.0,0.0,0.0,0
1342,2018,261201060006nyc,1.0,261201nyc,261nyc,20,84,4,6,nyc,1419,0.0,0.0,0.0,0.0,0
1343,2019,261201060006nyc,1.0,261201nyc,261nyc,22,84,5,5,nyc,1368,0.0,0.0,0.0,0.0,0
1344,2021,261201060006nyc,1.0,261201nyc,261nyc,21,82,5,5,nyc,1361,0.46,0.0,0.46,0.92,0
1346,2017,261301060009nyc,1.0,261301nyc,261nyc,18,87,6,3,nyc,1473,0.0,0.0,0.0,0.0,0
1347,2018,261301060009nyc,1.0,261301nyc,261nyc,20,87,5,3,nyc,1454,0.0,0.0,0.0,0.0,0
1348,2019,261301060009nyc,1.0,261301nyc,261nyc,21,86,5,3,nyc,1388,0.0,0.0,0.0,0.0,0
1349,2021,261301060009nyc,1.0,261301nyc,261nyc,26,85,5,4,nyc,1303,0.46,0.0,0.46,0.92,0
1351,2017,261313030002nyc,5.0,261313nyc,261nyc,56,76,12,10,nyc,295,0.0,0.0,0.0,0.0,0
1352,2018,261313030002nyc,8.0,261313nyc,261nyc,59,74,12,11,nyc,304,0.0,0.0,0.0,0.0,0
1353,2019,261313030002nyc,7.0,261313nyc,261nyc,55,73,12,12,nyc,285,0.0,0.0,0.0,0.0,0
1354,2021,261313030002nyc,1.0,261313nyc,261nyc,56,67,14,12,nyc,314,0.46,0.0,0.46,0.92,0
1356,2017,261401060006nyc,2.0,261401nyc,261nyc,4,78,4,5,nyc,929,0.0,0.0,0.0,0.0,0
1357,2018,261401060006nyc,0.0,261401nyc,261nyc,5,76,3,5,nyc,952,0.0,0.0,0.0,0.0,0
1358,2019,261401060006nyc,0.0,261401nyc,261nyc,5,73,3,6,nyc,928,0.0,0.0,0.0,0.0,0
1359,2021,261401060006nyc,0.0,261401nyc,261nyc,3,72,3,8,nyc,930,0.46,0.0,0.46,0.92,0
1361,2017,261401060010nyc,0.0,261401nyc,261nyc,4,75,5,6,nyc,984,0.0,0.0,0.0,0.0,0
1362,2018,261401060010nyc,1.0,261401nyc,261nyc,3,76,4,6,nyc,1007,0.0,0.0,0.0,0.0,0
1363,2019,261401060010nyc,1.0,261401nyc,261nyc,4,76,3,6,nyc,1029,0.0,0.0,0.0,0.0,0
1364,2021,261401060010nyc,0.0,261401nyc,261nyc,2,75,3,5,nyc,996,0.46,0.0,0.46,0.92,0
1366,2017,261501060004nyc,2.0,261501nyc,261nyc,30,81,8,4,nyc,1254,0.0,0.0,0.0,0.0,0
1367,2018,261501060004nyc,1.0,261501nyc,261nyc,30,81,8,5,nyc,1261,0.0,0.0,0.0,0.0,0
1368,2019,261501060004nyc,2.0,261501nyc,261nyc,31,81,8,5,nyc,1203,0.0,0.0,0.0,0.0,0
1369,2021,261501060004nyc,1.0,261501nyc,261nyc,31,80,8,6,nyc,1168,0.48,0.0,0.48,0.96,0
1371,2017,261600010058nyc,2.0,261600nyc,261nyc,76,12,66,18,nyc,374,0.0,0.0,0.0,0.0,0
1372,2018,261600010058nyc,5.0,261600nyc,261nyc,76,13,64,18,nyc,389,0.0,0.0,0.0,0.0,0
1373,2019,261600010058nyc,4.0,261600nyc,261nyc,75,11,65,20,nyc,382,0.0,0.0,0.0,0.0,0
1374,2021,261600010058nyc,0.0,261600nyc,261nyc,74,10,64,20,nyc,357,0.5,0.0,0.5,1.0,0
1376,2017,261600010061nyc,38.0,261600nyc,261nyc,91,8,52,34,nyc,820,0.0,0.0,0.0,0.0,0
1377,2018,261600010061nyc,23.0,261600nyc,261nyc,87,8,51,35,nyc,708,0.0,0.0,0.0,0.0,0
1378,2019,261600010061nyc,23.0,261600nyc,261nyc,86,9,56,31,nyc,660,0.0,0.0,0.0,0.0,0
1379,2021,261600010061nyc,8.0,261600nyc,261nyc,82,8,54,34,nyc,702,0.64,0.28,0.64,0.72,0
1381,2017,261600010066nyc,28.0,261600nyc,261nyc,95,4,41,54,nyc,712,0.0,0.0,0.0,0.0,0
1382,2018,261600010066nyc,34.0,261600nyc,261nyc,95,4,37,58,nyc,663,0.0,0.0,0.0,0.0,0
1383,2019,261600010066nyc,21.0,261600nyc,261nyc,94,4,39,56,nyc,577,0.0,0.0,0.0,0.0,0
1384,2021,261600010066nyc,7.0,261600nyc,261nyc,93,3,38,58,nyc,625,0.74,0.56,0.74,0.36,0
1386,2017,261600010067nyc,14.0,261600nyc,261nyc,81,12,71,11,nyc,757,0.0,0.0,0.0,0.0,0
1387,2018,261600010067nyc,16.0,261600nyc,261nyc,85,10,73,10,nyc,749,0.0,0.0,0.0,0.0,0
1388,2019,261600010067nyc,12.0,261600nyc,261nyc,85,10,70,13,nyc,770,0.0,0.0,0.0,0.0,0
1389,2021,261600010067nyc,8.0,261600nyc,261nyc,84,9,68,16,nyc,728,0.48,0.0,0.48,0.96,0
1391,2017,261600010069nyc,8.0,261600nyc,261nyc,86,13,58,23,nyc,264,0.0,0.0,0.0,0.0,0
1392,2018,261600010069nyc,7.0,261600nyc,261nyc,88,11,59,23,nyc,263,0.0,0.0,0.0,0.0,0
1393,2019,261600010069nyc,7.0,261600nyc,261nyc,86,11,60,24,nyc,268,0.0,0.0,0.0,0.0,0
1394,2021,261600010069nyc,3.0,261600nyc,261nyc,87,10,56,29,nyc,262,0.58,0.24,0.58,0.68,0
1396,2017,261600010073nyc,25.0,261600nyc,261nyc,88,7,66,25,nyc,659,0.0,0.0,0.0,0.0,0
1397,2018,261600010073nyc,22.0,261600nyc,261nyc,90,8,61,30,nyc,624,0.0,0.0,0.0,0.0,0
1398,2019,261600010073nyc,13.0,261600nyc,261nyc,92,6,63,31,nyc,568,0.0,0.0,0.0,0.0,0
1399,2021,261600010073nyc,12.0,261600nyc,261nyc,94,5,65,29,nyc,593,0.6,0.24,0.6,0.72,0
1401,2017,261600010074nyc,8.0,261600nyc,261nyc,70,23,49,23,nyc,756,0.0,0.0,0.0,0.0,0
1402,2018,261600010074nyc,4.0,261600nyc,261nyc,68,23,48,24,nyc,747,0.0,0.0,0.0,0.0,0
1403,2019,261600010074nyc,1.0,261600nyc,261nyc,68,23,50,23,nyc,742,0.0,0.0,0.0,0.0,0
