,year,schoolcode,dropout,districtcode,countycode,lowincome,white,black,hispanic,state,totalenrolled,schoolmode,virtualper,schoolmode,hybridper,charter
63,2021,20601040001nyc,0.0,206010nyc,206nyc,51,97,0,0,nyc,85,0.28,0.0,0.28,0.56,0
65,2017,20702040001nyc,2.0,207020nyc,207nyc,55,95,2,0,nyc,162,0.0,0.0,0.0,0.0,0
66,2018,20702040001nyc,9.0,207020nyc,207nyc,56,96,1,1,nyc,166,0.0,0.0,0.0,0.0,0
67,2019,20702040001nyc,11.0,207020nyc,207nyc,56,94,1,1,nyc,149,0.0,0.0,0.0,0.0,0
68,2021,20702040001nyc,11.0,207020nyc,207nyc,56,94,2,1,nyc,144,0.28,0.0,0.28,0.56,0
70,2017,20801040001nyc,0.0,208010nyc,208nyc,66,98,0,1,nyc,87,0.0,0.0,0.0,0.0,0
71,2018,20801040001nyc,5.0,208010nyc,208nyc,65,97,0,1,nyc,100,0.0,0.0,0.0,0.0,0
72,2019,20801040001nyc,6.0,208010nyc,208nyc,57,97,1,1,nyc,98,0.0,0.0,0.0,0.0,0
73,2021,20801040001nyc,3.0,208010nyc,208nyc,59,97,1,1,nyc,98,0.26,0.0,0.26,0.52,0
75,2017,21102040001nyc,23.0,211020nyc,211nyc,57,97,0,2,nyc,62,0.0,0.0,0.0,0.0,0
76,2018,21102040001nyc,0.0,211020nyc,211nyc,59,96,0,3,nyc,71,0.0,0.0,0.0,0.0,0
77,2019,21102040001nyc,24.0,211020nyc,211nyc,50,95,0,4,nyc,64,0.0,0.0,0.0,0.0,0
78,2021,21102040001nyc,10.0,211020nyc,211nyc,40,95,0,5,nyc,65,0.0,0.0,0.0,0.0,0
80,2017,21601040004nyc,0.0,216010nyc,216nyc,73,93,0,3,nyc,95,0.0,0.0,0.0,0.0,0
81,2018,21601040004nyc,4.0,216010nyc,216nyc,76,94,0,2,nyc,102,0.0,0.0,0.0,0.0,0
82,2019,21601040004nyc,0.0,216010nyc,216nyc,72,94,1,1,nyc,87,0.0,0.0,0.0,0.0,0
83,2021,21601040004nyc,0.0,216010nyc,216nyc,71,89,0,3,nyc,81,0.46,0.0,0.46,0.92,0
85,2017,22001040001nyc,0.0,220010nyc,220nyc,53,98,0,1,nyc,178,0.0,0.0,0.0,0.0,0
86,2018,22001040001nyc,2.0,220010nyc,220nyc,56,97,0,2,nyc,180,0.0,0.0,0.0,0.0,0
87,2019,22001040001nyc,0.0,220010nyc,220nyc,57,97,0,2,nyc,181,0.0,0.0,0.0,0.0,0
88,2021,22001040001nyc,0.0,220010nyc,220nyc,60,96,1,2,nyc,179,0.48,0.0,0.48,0.96,0
90,2017,22101040001nyc,0.0,221010nyc,221nyc,57,99,0,1,nyc,70,0.0,0.0,0.0,0.0,0
91,2018,22101040001nyc,0.0,221010nyc,221nyc,58,99,0,1,nyc,69,0.0,0.0,0.0,0.0,0
92,2019,22101040001nyc,6.0,221010nyc,221nyc,59,98,1,2,nyc,70,0.0,0.0,0.0,0.0,0
93,2021,22101040001nyc,5.0,221010nyc,221nyc,51,97,0,3,nyc,51,0.0,0.0,0.0,0.0,0
95,2017,22302040001nyc,2.0,223020nyc,223nyc,52,92,2,3,nyc,255,0.0,0.0,0.0,0.0,0
96,2018,22302040001nyc,8.0,223020nyc,223nyc,49,95,1,3,nyc,278,0.0,0.0,0.0,0.0,0
97,2019,22302040001nyc,3.0,223020nyc,223nyc,47,97,1,0,nyc,259,0.0,0.0,0.0,0.0,0
98,2021,22302040001nyc,2.0,223020nyc,223nyc,54,95,2,2,nyc,232,0.44,0.0,0.44,0.88,0
100,2017,22401040003nyc,0.0,224010nyc,224nyc,68,96,1,1,nyc,99,0.0,0.0,0.0,0.0,0
101,2018,22401040003nyc,0.0,224010nyc,224nyc,69,97,1,1,nyc,116,0.0,0.0,0.0,0.0,0
102,2019,22401040003nyc,4.0,224010nyc,224nyc,61,97,1,1,nyc,111,0.0,0.0,0.0,0.0,0
103,2021,22401040003nyc,8.0,224010nyc,224nyc,60,96,1,1,nyc,89,0.0,0.0,0.0,0.0,0
105,2017,22601060004nyc,1.0,226010nyc,226nyc,52,94,2,1,nyc,388,0.0,0.0,0.0,0.0,0
106,2018,22601060004nyc,4.0,226010nyc,226nyc,52,93,3,1,nyc,392,0.0,0.0,0.0,0.0,0
107,2019,22601060004nyc,5.0,226010nyc,226nyc,47,93,3,2,nyc,378,0.0,0.0,0.0,0.0,0
108,2021,22601060004nyc,5.0,226010nyc,226nyc,47,94,2,2,nyc,367,0.24,0.0,0.24,0.48,0
110,2017,22902040001nyc,0.0,229020nyc,229nyc,62,96,0,2,nyc,226,0.0,0.0,0.0,0.0,0
111,2018,22902040001nyc,4.0,229020nyc,229nyc,60,96,1,1,nyc,206,0.0,0.0,0.0,0.0,0
112,2019,22902040001nyc,2.0,229020nyc,229nyc,53,96,1,1,nyc,209,0.0,0.0,0.0,0.0,0
113,2021,22902040001nyc,4.0,229020nyc,229nyc,56,97,1,1,nyc,220,0.46,0.0,0.46,0.92,0
115,2017,30101060003nyc,0.0,301010nyc,301nyc,36,92,1,4,nyc,487,0.0,0.0,0.0,0.0,0
116,2018,30101060003nyc,2.0,301010nyc,301nyc,40,92,1,3,nyc,500,0.0,0.0,0.0,0.0,0
117,2019,30101060003nyc,2.0,301010nyc,301nyc,38,92,1,2,nyc,466,0.0,0.0,0.0,0.0,0
118,2021,30101060003nyc,2.0,301010nyc,301nyc,36,91,1,3,nyc,458,0.38,0.0,0.38,0.76,0
120,2017,30200010021nyc,16.0,302000nyc,302nyc,68,50,26,12,nyc,1474,0.0,0.0,0.0,0.0,0
121,2018,30200010021nyc,17.0,302000nyc,302nyc,73,46,27,14,nyc,1435,0.0,0.0,0.0,0.0,0
122,2019,30200010021nyc,16.0,302000nyc,302nyc,70,44,29,15,nyc,1374,0.0,0.0,0.0,0.0,0
123,2021,30200010021nyc,8.0,302000nyc,302nyc,73,41,30,15,nyc,1377,0.56,0.16,0.56,0.8,0
125,2017,30501040003nyc,4.0,305010nyc,305nyc,60,96,1,0,nyc,265,0.0,0.0,0.0,0.0,0
126,2018,30501040003nyc,12.0,305010nyc,305nyc,65,96,1,0,nyc,258,0.0,0.0,0.0,0.0,0
127,2019,30501040003nyc,7.0,305010nyc,305nyc,69,95,1,1,nyc,260,0.0,0.0,0.0,0.0,0
128,2021,30501040003nyc,7.0,305010nyc,305nyc,63,94,1,1,nyc,211,0.48,0.0,0.48,0.96,0
130,2017,30601060006nyc,4.0,306010nyc,306nyc,42,89,6,1,nyc,510,0.0,0.0,0.0,0.0,0
131,2018,30601060006nyc,3.0,306010nyc,306nyc,42,89,5,2,nyc,465,0.0,0.0,0.0,0.0,0
132,2019,30601060006nyc,4.0,306010nyc,306nyc,41,89,4,3,nyc,412,0.0,0.0,0.0,0.0,0
133,2021,30601060006nyc,2.0,306010nyc,306nyc,45,88,3,5,nyc,404,0.3,0.0,0.3,0.6,0
135,2017,30701060001nyc,2.0,307010nyc,307nyc,37,93,1,1,nyc,526,0.0,0.0,0.0,0.0,0
136,2018,30701060001nyc,3.0,307010nyc,307nyc,39,92,1,2,nyc,498,0.0,0.0,0.0,0.0,0
137,2019,30701060001nyc,2.0,307010nyc,307nyc,38,94,2,1,nyc,494,0.0,0.0,0.0,0.0,0
138,2021,30701060001nyc,0.0,307010nyc,307nyc,41,90,2,3,nyc,480,0.3,0.0,0.3,0.6,0
140,2017,31101060006nyc,2.0,311010nyc,311nyc,34,91,2,2,nyc,720,0.0,0.0,0.0,0.0,0
141,2018,31101060006nyc,3.0,311010nyc,311nyc,36,90,2,2,nyc,735,0.0,0.0,0.0,0.0,0
142,2019,31101060006nyc,2.0,311010nyc,311nyc,37,90,3,2,nyc,740,0.0,0.0,0.0,0.0,0
143,2021,31101060006nyc,3.0,311010nyc,311nyc,39,90,3,3,nyc,741,0.42,0.08,0.42,0.68,0
145,2017,31301040003nyc,0.0,313010nyc,313nyc,66,95,1,3,nyc,156,0.0,0.0,0.0,0.0,0
146,2018,31301040003nyc,2.0,313010nyc,313nyc,63,97,1,2,nyc,165,0.0,0.0,0.0,0.0,0
147,2019,31301040003nyc,3.0,313010nyc,313nyc,55,96,2,2,nyc,163,0.0,0.0,0.0,0.0,0
148,2021,31301040003nyc,4.0,313010nyc,313nyc,61,91,5,3,nyc,153,0.48,0.0,0.48,0.96,0
150,2017,31401060004nyc,4.0,314010nyc,314nyc,57,95,1,2,nyc,413,0.0,0.0,0.0,0.0,0
151,2018,31401060004nyc,5.0,314010nyc,314nyc,56,97,1,1,nyc,422,0.0,0.0,0.0,0.0,0
