,schoolcode,districtcode,countycode,year,charter,dropout,schoolmode,virtualper,hybridper,totalenrolled,lowincome,white,black,hispanic,state
2621,056902001tx,056902tx,056tx,2021,0.0,0,0.0,0.0,0.0,56,48.2143,39.2857,1.7857,57.1429,tx
2622,057802001tx,057802tx,057tx,2021,1.0,0,0.0,0.0,0.0,159,88.6792,3.7736,25.1572,69.8113,tx
2623,057803002tx,057803tx,057tx,2021,1.0,0,1.0,1.0,0.0,517,21.6634,6.7698,5.6093,18.5687,tx
2629,057803010tx,057803tx,057tx,2021,1.0,0,0.0,0.0,0.0,501,88.024,2.1956,3.5928,92.8144,tx
2650,057808101tx,057808tx,057tx,2021,1.0,0,0.0,0.0,0.0,126,69.0476,0.7937,30.1587,61.1111,tx
2651,057808102tx,057808tx,057tx,2021,1.0,0,0.0,0.0,0.0,70,8.5714,1.4286,34.2857,8.5714,tx
2653,057819001tx,057819tx,057tx,2021,1.0,0,0.0,0.0,0.0,29,75.8621,0.0,3.4483,10.3448,tx
2669,057845001tx,057845tx,057tx,2021,1.0,0,0.0,0.0,0.0,326,30.9816,38.6503,11.0429,44.4785,tx
2672,057847001tx,057847tx,057tx,2021,1.0,0,0.0,0.0,0.0,281,37.3665,25.6228,31.6726,37.0107,tx
2674,057848006tx,057848tx,057tx,2021,1.0,0,0.0,0.0,0.0,749,66.3551,6.8091,32.0427,56.3418,tx
2688,057903010tx,057903tx,057tx,2021,0.0,0,0.0,0.0,0.0,349,76.2178,3.7249,6.5903,81.0888,tx
2712,057905026tx,057905tx,057tx,2021,0.0,0,0.0,0.0,0.0,513,54.5809,14.23,9.9415,61.5984,tx
2717,057905035tx,057905tx,057tx,2021,0.0,0,0.0,0.0,0.0,285,70.1754,5.2632,12.2807,78.5965,tx
2719,057905037tx,057905tx,057tx,2021,0.0,0,0.0,0.0,0.0,238,73.5294,4.6218,20.1681,74.3697,tx
2724,057905090tx,057905tx,057tx,2021,0.0,0,0.0,0.0,0.0,268,79.4776,0.3731,13.0597,85.0746,tx
2740,057909053tx,057909tx,057tx,2021,0.0,0,0.0,0.0,0.0,112,77.6786,16.9643,26.7857,52.6786,tx
2763,057916006tx,057916tx,057tx,2021,0.0,0,0.0,0.0,0.0,102,70.5882,15.6863,44.1176,33.3333,tx
2767,058902001tx,058902tx,058tx,2021,0.0,0,0.0,0.0,0.0,26,73.0769,11.5385,0.0,73.0769,tx
2768,058905001tx,058905tx,058tx,2021,0.0,0,0.0,0.0,0.0,63,22.2222,65.0794,1.5873,26.9841,tx
2769,058906001tx,058906tx,058tx,2021,0.0,0,0.0,0.0,0.0,569,82.7768,13.0053,3.3392,82.6011,tx
2770,058909001tx,058909tx,058tx,2021,0.0,0,0.0,0.0,0.0,67,53.7313,44.7761,0.0,50.7463,tx
2777,061901005tx,061901tx,061tx,2021,0.0,0,0.0,0.0,0.0,107,71.028,23.3645,22.4299,44.8598,tx
2794,061910001tx,061910tx,061tx,2021,0.0,0,1.0,1.0,0.0,1199,5.0042,77.0642,2.0017,14.1785,tx
2802,062902001tx,062902tx,062tx,2021,0.0,0,0.0,0.0,0.0,35,48.5714,8.5714,2.8571,48.5714,tx
2805,063903001tx,063903tx,063tx,2021,0.0,0,0.0,0.0,0.0,103,46.6019,58.2524,0.9709,36.8932,tx
2807,065901001tx,065901tx,065tx,2021,0.0,0,0.0,0.0,0.0,145,35.8621,72.4138,11.0345,12.4138,tx
2808,065902001tx,065902tx,065tx,2021,0.0,0,0.0,0.0,0.0,40,62.5,80.0,0.0,20.0,tx
2813,067902004tx,067902tx,067tx,2021,0.0,0,0.0,0.0,0.0,20,75.0,75.0,5.0,5.0,tx
2817,067908001tx,067908tx,067tx,2021,0.0,0,0.0,0.0,0.0,63,65.0794,84.127,0.0,4.7619,tx
2822,068901004tx,068901tx,068tx,2021,0.0,0,0.0,0.0,0.0,102,53.9216,19.6078,0.9804,75.4902,tx
2826,069901001tx,069901tx,069tx,2021,0.0,0,0.0,0.0,0.0,87,58.6207,3.4483,0.0,73.5632,tx
2828,070901001tx,070901tx,070tx,2021,0.0,0,0.0,0.0,0.0,80,40.0,51.25,0.0,48.75,tx
2841,071801003tx,071801tx,071tx,2021,1.0,0,0.0,0.0,0.0,318,43.7107,11.0063,0.3145,87.7358,tx
2845,071806001tx,071806tx,071tx,2021,1.0,0,1.0,1.0,0.0,500,73.6,4.4,0.6,93.8,tx
2846,071806002tx,071806tx,071tx,2021,1.0,0,1.0,1.0,0.0,230,74.7826,7.8261,4.3478,84.3478,tx
2860,071902011tx,071902tx,071tx,2021,0.0,0,1.0,1.0,0.0,660,64.8485,3.7879,1.9697,90.303,tx
2862,071902015tx,071902tx,071tx,2021,0.0,0,0.0,0.0,0.0,411,66.91,14.3552,4.6229,76.1557,tx
2875,071905014tx,071905tx,071tx,2021,0.0,0,1.0,1.0,0.0,41,75.6098,2.439,2.439,92.6829,tx
2876,071905017tx,071905tx,071tx,2021,0.0,0,1.0,1.0,0.0,373,48.5255,2.9491,0.2681,94.9062,tx
2881,071907003tx,071907tx,071tx,2021,0.0,0,1.0,1.0,0.0,394,52.5381,7.868,1.7766,88.5787,tx
2885,071909003tx,071909tx,071tx,2021,0.0,0,1.0,1.0,0.0,34,82.3529,2.9412,0.0,8.8235,tx
2888,071909007tx,071909tx,071tx,2021,0.0,0,1.0,1.0,0.0,489,63.5992,2.2495,0.6135,93.456,tx
2895,072801104tx,072801tx,072tx,2021,1.0,0,1.0,1.0,0.0,125,95.2,0.8,0.0,2.4,tx
2896,072801107tx,072801tx,072tx,2021,1.0,0,1.0,1.0,0.0,98,83.6735,10.2041,0.0,87.7551,tx
2902,072801115tx,072801tx,072tx,2021,1.0,0,1.0,1.0,0.0,143,94.4056,0.6993,0.6993,97.2028,tx
2906,072801128tx,072801tx,072tx,2021,1.0,0,1.0,1.0,0.0,131,58.7786,29.0076,9.9237,54.9618,tx
2911,072801136tx,072801tx,072tx,2021,1.0,10,1.0,1.0,0.0,180,48.3333,49.4444,0.5556,43.3333,tx
2912,072801137tx,072801tx,072tx,2021,1.0,0,1.0,1.0,0.0,225,51.5556,83.1111,0.4444,12.0,tx
2913,072801138tx,072801tx,072tx,2021,1.0,0,1.0,1.0,0.0,155,54.1935,77.4194,1.9355,17.4194,tx
2918,072801146tx,072801tx,072tx,2021,1.0,0,1.0,1.0,0.0,183,95.082,1.6393,0.0,96.1749,tx
2931,072908001tx,072908tx,072tx,2021,0.0,0,0.0,0.0,0.0,62,17.7419,74.1935,0.0,17.7419,tx
2932,072909001tx,072909tx,072tx,2021,0.0,0,0.0,0.0,0.0,89,42.6966,56.1798,0.0,3.3708,tx
2937,074904001tx,074904tx,074tx,2021,0.0,0,0.0,0.0,0.0,115,33.913,83.4783,0.0,11.3043,tx
2939,074907001tx,074907tx,074tx,2021,0.0,0,0.0,0.0,0.0,209,44.9761,66.0287,7.177,21.0526,tx
2941,074911001tx,074911tx,074tx,2021,0.0,0,0.0,0.0,0.0,83,38.5542,74.6988,1.2048,18.0723,tx
2943,074917001tx,074917tx,074tx,2021,0.0,0,1.0,1.0,0.0,162,45.0617,87.6543,0.0,8.642,tx
2944,075901001tx,075901tx,075tx,2021,0.0,0,0.0,0.0,0.0,189,48.6772,41.7989,1.5873,50.2646,tx
2947,075906001tx,075906tx,075tx,2021,0.0,0,0.0,0.0,0.0,75,41.3333,82.6667,1.3333,4.0,tx
2949,076903001tx,076903tx,076tx,2021,0.0,0,0.0,0.0,0.0,83,44.5783,69.8795,0.0,3.6145,tx
2953,078901001tx,078901tx,078tx,2021,0.0,0,1.0,1.0,0.0,64,70.3125,48.4375,1.5625,46.875,tx
2957,079901004tx,079901tx,079tx,2021,0.0,0,0.0,0.0,0.0,104,63.4615,23.0769,19.2308,54.8077,tx
2972,079907038tx,079907tx,079tx,2021,0.0,0,0.0,0.0,0.0,104,73.0769,6.7308,42.3077,47.1154,tx
2978,081905002tx,081905tx,081tx,2021,0.0,0,0.0,0.0,0.0,149,57.047,63.7584,13.4228,20.8054,tx
2982,083902001tx,083902tx,083tx,2021,0.0,0,0.0,0.0,0.0,30,46.6667,46.6667,0.0,53.3333,tx
2985,084802001tx,084802tx,084tx,2021,1.0,0,0.0,0.0,0.0,147,48.9796,40.1361,2.0408,48.9796,tx
2990,084903001tx,084903tx,084tx,2021,0.0,0,1.0,1.0,0.0,81,56.7901,85.1852,0.0,6.1728,tx
2999,084910008tx,084910tx,084tx,2021,0.0,0,0.0,0.0,0.0,258,32.5581,39.9225,11.2403,41.0853,tx
3001,084910010tx,084910tx,084tx,2021,0.0,0,0.0,0.0,0.0,473,35.0951,25.5814,9.0909,32.3467,tx
3007,086902001tx,086902tx,086tx,2021,0.0,0,0.0,0.0,0.0,191,33.5079,84.8168,0.0,1.5707,tx
3008,087901001tx,087901tx,087tx,2021,0.0,0,0.0,0.0,0.0,79,31.6456,48.1013,0.0,51.8987,tx
3009,088902001tx,088902tx,088tx,2021,0.0,0,0.0,0.0,0.0,389,47.5578,46.5296,5.6555,44.7301,tx
3011,089903001tx,089903tx,089tx,2021,0.0,0,0.0,0.0,0.0,301,78.7375,22.9236,0.3322,75.4153,tx
3012,090902001tx,090902tx,090tx,2021,0.0,0,0.0,0.0,0.0,51,54.902,80.3922,0.0,5.8824,tx
3016,091902001tx,091902tx,091tx,2021,0.0,0,0.0,0.0,0.0,179,48.0447,75.419,0.5587,20.6704,tx
3018,091903002tx,091903tx,091tx,2021,0.0,3,0.0,0.0,0.0,58,51.7241,58.6207,15.5172,18.9655,tx
3022,091907101tx,091907tx,091tx,2021,0.0,0,0.0,0.0,0.0,211,37.9147,72.9858,0.4739,22.7488,tx
3029,091918001tx,091918tx,091tx,2021,0.0,0,0.0,0.0,0.0,232,40.9483,82.3276,1.2931,11.6379,tx
3040,093903001tx,093903tx,093tx,2021,0.0,0,0.0,0.0,0.0,146,31.5068,79.4521,0.6849,15.7534,tx
3043,093905001tx,093905tx,093tx,2021,0.0,0,0.0,0.0,0.0,61,59.0164,73.7705,16.3934,1.6393,tx
3050,094904001tx,094904tx,094tx,2021,0.0,0,0.0,0.0,0.0,500,37.8,53.8,2.4,41.0,tx
3051,094904003tx,094904tx,094tx,2021,0.0,0,0.0,0.0,0.0,13,38.4615,38.4615,0.0,61.5385,tx
3053,095902001tx,095902tx,095tx,2021,0.0,0,0.0,0.0,0.0,36,69.4444,52.7778,0.0,8.3333,tx
3055,095904001tx,095904tx,095tx,2021,0.0,0,0.0,0.0,0.0,82,76.8293,3.6585,0.0,70.7317,tx
3058,096905001tx,096905tx,096tx,2021,0.0,0,0.0,0.0,0.0,77,57.1429,67.5325,0.0,3.8961,tx
3061,098901001tx,098901tx,098tx,2021,0.0,0,0.0,0.0,0.0,173,46.8208,42.7746,0.0,54.9133,tx
3062,098904001tx,098904tx,098tx,2021,0.0,0,0.0,0.0,0.0,271,57.1956,31.7343,0.0,67.5277,tx
3080,101842001tx,101842tx,101tx,2021,1.0,0,0.0,0.0,0.0,26,46.1538,11.5385,3.8462,50.0,tx
3096,101858004tx,101858tx,101tx,2021,1.0,0,1.0,1.0,0.0,729,65.4321,7.4074,15.2263,60.7682,tx
3097,101858005tx,101858tx,101tx,2021,1.0,0,0.0,0.0,0.0,354,66.6667,12.1469,17.2316,53.1073,tx
3099,101862004tx,101862tx,101tx,2021,1.0,0,0.0,0.0,0.0,175,66.2857,13.7143,32.5714,41.1429,tx
3100,101862005tx,101862tx,101tx,2021,1.0,0,1.0,1.0,0.0,304,52.3026,18.0921,25.0,22.0395,tx
3109,101902008tx,101902tx,101tx,2021,0.0,0,0.0,0.0,0.0,431,86.5429,2.5522,21.1137,74.2459,tx
3118,101903006tx,101903tx,101tx,2021,0.0,0,1.0,1.0,0.0,816,71.3235,3.6765,14.7059,25.3676,tx
3119,101903011tx,101903tx,101tx,2021,0.0,0,0.0,0.0,0.0,30,80.0,3.3333,66.6667,10.0,tx
3144,101911006tx,101911tx,101tx,2021,0.0,0,0.0,0.0,0.0,147,82.9932,14.2857,22.449,61.2245,tx
3186,101912345tx,101912tx,101tx,2021,0.0,0,0.0,0.0,0.0,447,82.774,0.2237,3.132,93.736,tx
3196,101913005tx,101913tx,101tx,2021,0.0,0,0.0,0.0,0.0,425,44.9412,22.1176,23.7647,48.7059,tx
3202,101914003tx,101914tx,101tx,2021,0.0,0,0.0,0.0,0.0,206,54.8544,24.7573,21.8447,46.6019,tx
3215,101915038tx,101915tx,101tx,2021,0.0,0,0.0,0.0,0.0,201,65.6716,25.3731,35.8209,35.8209,tx
3224,101917014tx,101917tx,101tx,2021,0.0,0,0.0,0.0,0.0,219,80.3653,5.0228,9.589,82.6484,tx
3229,101919018tx,101919tx,101tx,2021,0.0,0,0.0,0.0,0.0,1509,77.6673,7.3559,22.3989,63.4858,tx
3246,102905001tx,102905tx,102tx,2021,0.0,0,0.0,0.0,0.0,258,44.9612,84.4961,2.7132,7.7519,tx
3248,103901001tx,103901tx,103tx,2021,0.0,0,0.0,0.0,0.0,36,61.1111,69.4444,0.0,8.3333,tx
3249,103902001tx,103902tx,103tx,2021,0.0,0,0.0,0.0,0.0,66,59.0909,39.3939,0.0,60.6061,tx
3251,104903001tx,104903tx,104tx,2021,0.0,0,0.0,0.0,0.0,46,82.6087,54.3478,0.0,6.5217,tx
3252,104907001tx,104907tx,104tx,2021,0.0,0,0.0,0.0,0.0,26,80.7692,53.8462,0.0,46.1538,tx
3270,107907001tx,107907tx,107tx,2021,0.0,0,0.0,0.0,0.0,51,68.6275,72.549,5.8824,13.7255,tx
3275,108807001tx,108807tx,108tx,2021,1.0,0,0.0,0.0,0.0,371,90.027,0.8086,0.2695,94.6092,tx
3276,108807002tx,108807tx,108tx,2021,1.0,0,0.0,0.0,0.0,398,95.7286,4.2714,0.2513,91.4573,tx
3277,108807003tx,108807tx,108tx,2021,1.0,0,1.0,1.0,0.0,418,89.4737,1.9139,0.0,97.6077,tx
3278,108807004tx,108807tx,108tx,2021,1.0,0,1.0,1.0,0.0,430,95.3488,0.6977,0.0,97.907,tx
3279,108807005tx,108807tx,108tx,2021,1.0,0,0.0,0.0,0.0,411,83.2117,4.8662,0.2433,93.4307,tx
3280,108807006tx,108807tx,108tx,2021,1.0,0,0.0,0.0,0.0,394,94.4162,0.2538,0.2538,98.731,tx
3282,108807008tx,108807tx,108tx,2021,1.0,0,0.0,0.0,0.0,403,90.0744,1.9851,0.0,98.0149,tx
3283,108807009tx,108807tx,108tx,2021,1.0,0,0.0,0.0,0.0,354,80.226,2.5424,1.4124,96.0452,tx
3284,108807010tx,108807tx,108tx,2021,1.0,0,0.0,0.0,0.0,405,89.8765,3.2099,0.2469,95.8025,tx
3285,108807011tx,108807tx,108tx,2021,1.0,0,1.0,1.0,0.0,420,81.9048,0.7143,0.0,96.4286,tx
3292,108807018tx,108807tx,108tx,2021,1.0,0,0.0,0.0,0.0,221,81.9005,4.0724,0.4525,94.5701,tx
3303,108807035tx,108807tx,108tx,2021,1.0,0,1.0,1.0,0.0,412,92.4757,1.4563,3.3981,94.4175,tx
3314,108903001tx,108903tx,108tx,2021,0.0,5,0.0,0.0,0.0,1420,97.5352,0.4225,0.0704,99.3662,tx
3322,108906005tx,108906tx,108tx,2021,0.0,0,0.0,0.0,0.0,28,78.5714,0.0,0.0,100.0,tx
3324,108906011tx,108906tx,108tx,2021,0.0,0,1.0,1.0,0.0,447,71.3647,1.7897,0.0,96.1969,tx
3327,108907006tx,108907tx,108tx,2021,0.0,0,1.0,1.0,0.0,417,81.295,0.2398,0.2398,98.0815,tx
3330,108908004tx,108908tx,108tx,2021,0.0,0,1.0,1.0,0.0,465,84.5161,0.2151,0.0,99.5699,tx
3331,108908039tx,108908tx,108tx,2021,0.0,0,1.0,1.0,0.0,14,100.0,0.0,0.0,100.0,tx
3336,108909009tx,108909tx,108tx,2021,0.0,0,1.0,1.0,0.0,679,94.6981,0.1473,0.1473,98.6745,tx
3340,108911008tx,108911tx,108tx,2021,0.0,0,1.0,1.0,0.0,440,66.3636,0.2273,0.2273,97.7273,tx
3353,109901001tx,109901tx,109tx,2021,0.0,0,0.0,0.0,0.0,83,22.8916,81.9277,1.2048,13.253,tx
3354,109902001tx,109902tx,109tx,2021,0.0,0,0.0,0.0,0.0,67,61.194,46.2687,4.4776,43.2836,tx
3355,109903001tx,109903tx,109tx,2021,0.0,0,0.0,0.0,0.0,84,28.5714,88.0952,0.0,7.1429,tx
3363,109914001tx,109914tx,109tx,2021,0.0,0,0.0,0.0,0.0,82,78.0488,3.6585,1.2195,50.0,tx
3364,110901001tx,110901tx,110tx,2021,0.0,0,0.0,0.0,0.0,61,90.1639,16.3934,1.6393,73.7705,tx
3367,110906001tx,110906tx,110tx,2021,0.0,0,0.0,0.0,0.0,150,53.3333,50.0,0.6667,48.0,tx
3368,110907001tx,110907tx,110tx,2021,0.0,0,0.0,0.0,0.0,190,43.1579,37.3684,0.5263,60.5263,tx
3369,110908001tx,110908tx,110tx,2021,0.0,0,0.0,0.0,0.0,53,45.283,62.2642,1.8868,32.0755,tx
3372,111902003tx,111902tx,111tx,2021,0.0,0,0.0,0.0,0.0,146,48.6301,82.8767,0.6849,15.7534,tx
3376,112906001tx,112906tx,112tx,2021,0.0,0,0.0,0.0,0.0,171,63.1579,63.7427,0.5848,28.655,tx
3377,112907001tx,112907tx,112tx,2021,0.0,0,0.0,0.0,0.0,83,46.988,75.9036,0.0,3.6145,tx
3379,112909001tx,112909tx,112tx,2021,0.0,0,0.0,0.0,0.0,79,63.2911,70.8861,3.7975,18.9873,tx
3380,112910001tx,112910tx,112tx,2021,0.0,0,0.0,0.0,0.0,88,46.5909,89.7727,1.1364,6.8182,tx
3387,114902001tx,114902tx,114tx,2021,0.0,0,0.0,0.0,0.0,274,34.3066,59.854,0.365,36.1314,tx
3392,116902001tx,116902tx,116tx,2021,0.0,0,0.0,0.0,0.0,172,48.2558,72.6744,1.7442,19.7674,tx
3396,116905004tx,116905tx,116tx,2021,0.0,0,0.0,0.0,0.0,12,50.0,66.6667,8.3333,8.3333,tx
3399,116909001tx,116909tx,116tx,2021,0.0,0,0.0,0.0,0.0,207,49.2754,74.3961,4.8309,17.3913,tx
3401,116915001tx,116915tx,116tx,2021,0.0,0,0.0,0.0,0.0,224,34.8214,50.4464,0.4464,43.3036,tx
3405,117904001tx,117904tx,117tx,2021,0.0,0,0.0,0.0,0.0,209,31.1005,69.8565,0.4785,24.8804,tx
3406,118902001tx,118902tx,118tx,2021,0.0,0,0.0,0.0,0.0,99,44.4444,53.5354,1.0101,42.4242,tx
3410,120901001tx,120901tx,120tx,2021,0.0,0,0.0,0.0,0.0,437,59.2677,36.6133,13.73,46.9108,tx
3411,120901004tx,120901tx,120tx,2021,0.0,0,0.0,0.0,0.0,56,69.6429,14.2857,17.8571,64.2857,tx
3425,123908002tx,123908tx,123tx,2021,0.0,0,0.0,0.0,0.0,33,69.697,51.5152,3.0303,39.3939,tx
3426,123910006tx,123910tx,123tx,2021,0.0,0,0.0,0.0,0.0,64,78.125,1.5625,82.8125,9.375,tx
3430,123913001tx,123913tx,123tx,2021,0.0,0,0.0,0.0,0.0,135,53.3333,24.4444,25.1852,44.4444,tx
3441,126902007tx,126902tx,126tx,2021,0.0,0,0.0,0.0,0.0,243,21.8107,55.5556,6.9959,27.572,tx
3445,126904001tx,126904tx,126tx,2021,0.0,0,0.0,0.0,0.0,444,31.0811,78.1532,1.5766,16.8919,tx
3447,126905002tx,126905tx,126tx,2021,0.0,0,0.0,0.0,0.0,68,54.4118,75.0,1.4706,17.6471,tx
3448,126905003tx,126905tx,126tx,2021,0.0,0,0.0,0.0,0.0,490,45.7143,64.4898,1.2245,29.1837,tx
3457,127905001tx,127905tx,127tx,2021,0.0,0,0.0,0.0,0.0,32,78.125,9.375,0.0,56.25,tx
3462,128904001tx,128904tx,128tx,2021,0.0,0,1.0,1.0,0.0,118,14.4068,82.2034,0.0,2.5424,tx
3478,132902001tx,132902tx,132tx,2021,0.0,0,0.0,0.0,0.0,48,41.6667,68.75,0.0,6.25,tx
3483,134901001tx,134901tx,134tx,2021,0.0,0,0.0,0.0,0.0,170,61.1765,58.2353,0.5882,38.2353,tx
3484,135001001tx,135001tx,135tx,2021,0.0,0,0.0,0.0,0.0,32,15.625,9.375,0.0,3.125,tx
3489,138902001tx,138902tx,138tx,2021,0.0,0,0.0,0.0,0.0,68,69.1176,38.2353,1.4706,55.8824,tx
3491,138904001tx,138904tx,138tx,2021,0.0,0,0.0,0.0,0.0,39,56.4103,51.2821,0.0,28.2051,tx
3500,140908001tx,140908tx,140tx,2021,0.0,0,0.0,0.0,0.0,124,48.3871,38.7097,0.8065,58.871,tx
3502,141902001tx,141902tx,141tx,2021,0.0,0,0.0,0.0,0.0,77,79.2208,36.3636,1.2987,59.7403,tx
3506,143903001tx,143903tx,143tx,2021,0.0,0,0.0,0.0,0.0,226,24.3363,76.9912,5.7522,12.3894,tx
3508,144902001tx,144902tx,144tx,2021,0.0,1,0.0,0.0,0.0,338,25.4438,67.7515,8.284,18.0473,tx
3513,145907002tx,145907tx,145tx,2021,0.0,0,0.0,0.0,0.0,59,84.7458,59.322,27.1186,5.0847,tx
3523,147901001tx,147901tx,147tx,2021,0.0,0,0.0,0.0,0.0,97,82.4742,27.8351,3.0928,50.5155,tx
3528,148905101tx,148905tx,148tx,2021,0.0,0,0.0,0.0,0.0,44,70.4545,6.8182,0.0,54.5455,tx
3533,152901007tx,152901tx,152tx,2021,0.0,0,0.0,0.0,0.0,306,86.2745,11.1111,25.817,60.4575,tx
3539,152901024tx,152901tx,152tx,2021,0.0,0,0.0,0.0,0.0,199,44.7236,40.7035,12.0603,42.2111,tx
3540,152902001tx,152902tx,152tx,2021,0.0,0,0.0,0.0,0.0,243,62.5514,48.5597,1.2346,43.6214,tx
3551,153907001tx,153907tx,153tx,2021,0.0,0,0.0,0.0,0.0,44,84.0909,25.0,0.0,75.0,tx
3552,154901001tx,154901tx,154tx,2021,0.0,0,0.0,0.0,0.0,684,65.0585,46.0526,17.2515,34.0643,tx
3556,156905001tx,156905tx,156tx,2021,0.0,0,0.0,0.0,0.0,70,14.2857,64.2857,1.4286,31.4286,tx
3557,157901001tx,157901tx,157tx,2021,0.0,0,0.0,0.0,0.0,240,41.25,61.25,0.4167,35.0,tx
3565,160904001tx,160904tx,160tx,2021,0.0,0,0.0,0.0,0.0,48,62.5,75.0,0.0,6.25,tx
3570,161807006tx,161807tx,161tx,2021,1.0,0,1.0,1.0,0.0,412,48.5437,26.2136,19.9029,34.7087,tx
3576,161901001tx,161901tx,161tx,2021,0.0,0,0.0,0.0,0.0,194,13.4021,88.6598,0.5155,8.2474,tx
3579,161907001tx,161907tx,161tx,2021,0.0,0,0.0,0.0,0.0,530,19.434,80.1887,2.6415,14.5283,tx
3589,161920001tx,161920tx,161tx,2021,0.0,0,0.0,0.0,0.0,889,25.5343,66.2542,6.8616,21.9348,tx
3590,161920002tx,161920tx,161tx,2021,0.0,0,0.0,0.0,0.0,18,50.0,72.2222,5.5556,5.5556,tx
3593,161923001tx,161923tx,161tx,2021,0.0,0,0.0,0.0,0.0,226,31.4159,70.354,5.7522,19.469,tx
3595,162904001tx,162904tx,162tx,2021,0.0,0,0.0,0.0,0.0,88,19.3182,59.0909,0.0,37.5,tx
3600,163908001tx,163908tx,163tx,2021,0.0,0,0.0,0.0,0.0,1875,43.4667,30.1333,4.32,60.64,tx
3601,164901001tx,164901tx,164tx,2021,0.0,1,0.0,0.0,0.0,89,60.6742,49.4382,1.1236,46.0674,tx
3605,165901006tx,165901tx,165tx,2021,0.0,0,0.0,0.0,0.0,388,48.9691,12.8866,9.2784,69.3299,tx
3606,165901030tx,165901tx,165tx,2021,0.0,0,0.0,0.0,0.0,29,58.6207,3.4483,3.4483,72.4138,tx
3613,166905001tx,166905tx,166tx,2021,0.0,0,0.0,0.0,0.0,228,28.5088,72.807,0.4386,23.2456,tx
3616,167904001tx,167904tx,167tx,2021,0.0,0,0.0,0.0,0.0,39,56.4103,69.2308,0.0,25.641,tx
3617,168901001tx,168901tx,168tx,2021,0.0,0,0.0,0.0,0.0,227,37.8855,44.9339,10.5727,41.8502,tx
3619,168902001tx,168902tx,168tx,2021,0.0,2,0.0,0.0,0.0,43,60.4651,23.2558,6.9767,60.4651,tx
3620,168903001tx,168903tx,168tx,2021,0.0,0,0.0,0.0,0.0,82,25.6098,60.9756,0.0,36.5854,tx
3623,169906001tx,169906tx,169tx,2021,0.0,0,0.0,0.0,0.0,51,66.6667,80.3922,1.9608,11.7647,tx
3624,169909001tx,169909tx,169tx,2021,0.0,0,0.0,0.0,0.0,59,71.1864,84.7458,0.0,5.0847,tx
3626,169911001tx,169911tx,169tx,2021,0.0,1,0.0,0.0,0.0,94,53.1915,82.9787,0.0,12.766,tx
3643,170908002tx,170908tx,170tx,2021,0.0,0,0.0,0.0,0.0,117,72.6496,29.0598,0.8547,64.9573,tx
3650,173901001tx,173901tx,173tx,2021,0.0,0,0.0,0.0,0.0,52,75.0,67.3077,0.0,5.7692,tx
3651,174901001tx,174901tx,174tx,2021,0.0,0,0.0,0.0,0.0,107,58.8785,82.243,0.9346,14.0187,tx
3662,175904001tx,175904tx,175tx,2021,0.0,0,0.0,0.0,0.0,183,69.3989,65.5738,10.3825,18.5792,tx
3671,177901001tx,177901tx,177tx,2021,1.0,0,0.0,0.0,0.0,163,41.1043,39.8773,0.6135,58.2822,tx
3674,177903001tx,177903tx,177tx,2021,0.0,0,0.0,0.0,0.0,52,28.8462,73.0769,0.0,26.9231,tx
3675,177905001tx,177905tx,177tx,2021,0.0,0,0.0,0.0,0.0,69,27.5362,79.7101,0.0,15.942,tx
3684,178904008tx,178904tx,178tx,2021,0.0,0,0.0,0.0,0.0,428,70.7944,16.5888,0.7009,77.5701,tx
3688,178904054tx,178904tx,178tx,2021,0.0,0,0.0,0.0,0.0,42,83.3333,16.6667,14.2857,69.0476,tx
3689,178904143tx,178904tx,178tx,2021,0.0,2,0.0,0.0,0.0,90,75.5556,3.3333,1.1111,81.1111,tx
3695,178912002tx,178912tx,178tx,2021,0.0,0,0.0,0.0,0.0,85,80.0,18.8235,1.1765,74.1176,tx
3710,182901001tx,182901tx,182tx,2021,0.0,0,0.0,0.0,0.0,69,42.029,73.913,0.0,18.8406,tx
3714,182904001tx,182904tx,182tx,2021,0.0,0,0.0,0.0,0.0,166,37.9518,80.7229,0.0,15.0602,tx
3728,184907009tx,184907tx,184tx,2021,0.0,0,0.0,0.0,0.0,538,16.5428,76.0223,3.5316,14.8699,tx
3730,184909001tx,184909tx,184tx,2021,0.0,0,0.0,0.0,0.0,499,6.4128,86.5731,0.2004,8.2164,tx
3734,185904001tx,185904tx,185tx,2021,0.0,2,0.0,0.0,0.0,49,67.3469,6.1224,2.0408,55.102,tx
3735,186901001tx,186901tx,186tx,2021,0.0,0,0.0,0.0,0.0,79,49.3671,22.7848,1.2658,74.6835,tx
3737,186903001tx,186903tx,186tx,2021,0.0,1,0.0,0.0,0.0,80,45.0,3.75,0.0,76.25,tx
3738,187901001tx,187901tx,187tx,2021,0.0,0,0.0,0.0,0.0,155,45.8065,64.5161,0.6452,12.2581,tx
3741,187906001tx,187906tx,187tx,2021,0.0,0,0.0,0.0,0.0,53,88.6792,52.8302,15.0943,24.5283,tx
3744,187910001tx,187910tx,187tx,2021,0.0,0,0.0,0.0,0.0,367,81.7439,85.0136,2.7248,8.7193,tx
3752,188904001tx,188904tx,188tx,2021,0.0,0,0.0,0.0,0.0,497,15.493,80.4829,0.2012,15.493,tx
3763,194903001tx,194903tx,194tx,2021,0.0,0,0.0,0.0,0.0,201,49.7512,78.607,3.4826,12.4378,tx
