,schoolcode,districtcode,countycode,year,charter,mathpass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,state
49,43001040002,4newyork,02newyork,2017,0.0,97.0,0.0,0.0,0.0,83,45.7831,83.1325,1.2048,3.6145,newyork
50,43011020001,2newyork,01newyork,2017,0.0,83.0,0.0,0.0,0.0,6,66.6667,16.6667,33.3333,16.6667,newyork
51,43200050002,5newyork,02newyork,2017,0.0,65.0,0.0,0.0,0.0,148,60.1351,50.0,1.3514,3.3784,newyork
52,43501060006,6newyork,06newyork,2017,0.0,90.0,0.0,0.0,0.0,173,59.5376,95.9538,2.3121,0.578,newyork
53,50100010013,1newyork,13newyork,2017,0.0,80.0,0.0,0.0,0.0,297,51.5152,79.1246,9.4276,2.3569,newyork
54,50301040002,4newyork,02newyork,2017,0.0,91.0,0.0,0.0,0.0,91,21.978,94.5055,1.0989,2.1978,newyork
55,50401040003,4newyork,03newyork,2017,0.0,94.0,0.0,0.0,0.0,81,40.7407,95.0617,0.0,0.0,newyork
56,50701040005,4newyork,05newyork,2017,0.0,86.0,0.0,0.0,0.0,57,54.386,94.7368,0.0,5.2632,newyork
57,51101040004,4newyork,04newyork,2017,0.0,83.0,0.0,0.0,0.0,78,33.3333,96.1538,0.0,1.2821,newyork
58,51301040003,4newyork,03newyork,2017,0.0,100.0,0.0,0.0,0.0,64,45.3125,96.875,0.0,0.0,newyork
59,51901040005,4newyork,05newyork,2017,0.0,95.0,0.0,0.0,0.0,78,32.0513,87.1795,2.5641,5.1282,newyork
60,60201060003,6newyork,03newyork,2017,0.0,87.0,0.0,0.0,0.0,95,36.8421,88.4211,2.1053,3.1579,newyork
61,60301040004,4newyork,04newyork,2017,0.0,96.0,0.0,0.0,0.0,49,32.6531,95.9184,0.0,4.0816,newyork
62,60401040006,4newyork,06newyork,2017,0.0,89.0,0.0,0.0,0.0,89,51.6854,92.1348,0.0,6.7416,newyork
63,60503040001,4newyork,01newyork,2017,0.0,89.0,0.0,0.0,0.0,85,51.7647,97.6471,0.0,1.1765,newyork
64,60601040003,4newyork,03newyork,2017,0.0,78.0,0.0,0.0,0.0,32,40.625,100.0,0.0,0.0,newyork
65,60701040003,4newyork,03newyork,2017,0.0,92.0,0.0,0.0,0.0,39,43.5897,89.7436,0.0,0.0,newyork
66,60800010009,1newyork,09newyork,2017,0.0,62.0,0.0,0.0,0.0,256,79.6875,32.0312,10.9375,55.4688,newyork
67,61001040005,4newyork,05newyork,2017,0.0,98.0,0.0,0.0,0.0,56,30.3571,96.4286,1.7857,0.0,newyork
68,61101040007,4newyork,07newyork,2017,0.0,83.0,0.0,0.0,0.0,114,52.6316,92.1053,1.7544,4.386,newyork
69,61501040001,4newyork,01newyork,2017,0.0,93.0,0.0,0.0,0.0,92,60.8696,78.2609,0.0,5.4348,newyork
70,61503040003,4newyork,03newyork,2017,0.0,95.0,0.0,0.0,0.0,44,52.2727,90.9091,2.2727,4.5455,newyork
71,61601040001,4newyork,01newyork,2017,0.0,99.0,0.0,0.0,0.0,48,37.5,95.8333,0.0,2.0833,newyork
72,61700010013,1newyork,13newyork,2017,0.0,72.0,0.0,0.0,0.0,358,70.6704,59.4972,7.5419,24.0223,newyork
73,62201060003,6newyork,03newyork,2017,0.0,92.0,0.0,0.0,0.0,110,46.3636,70.9091,0.9091,23.6364,newyork
74,62301040003,4newyork,03newyork,2017,0.0,95.0,0.0,0.0,0.0,38,57.8947,92.1053,0.0,2.6316,newyork
75,62601040003,4newyork,03newyork,2017,0.0,98.0,0.0,0.0,0.0,48,64.5833,95.8333,2.0833,2.0833,newyork
76,62901040002,4newyork,02newyork,2017,0.0,96.0,0.0,0.0,0.0,77,48.0519,89.6104,0.0,6.4935,newyork
77,70600010020,1newyork,20newyork,2017,0.0,53.0,0.0,0.0,0.0,243,72.428,57.6132,32.5103,2.4691,newyork
78,70600010021,1newyork,21newyork,2017,0.0,88.0,0.0,0.0,0.0,245,46.9388,81.6327,13.0612,0.8163,newyork
79,70901060007,6newyork,07newyork,2017,0.0,89.0,0.0,0.0,0.0,330,37.8788,90.0,2.4242,2.1212,newyork
80,70902060002,6newyork,02newyork,2017,0.0,87.0,0.0,0.0,0.0,78,48.7179,91.0256,1.2821,0.0,newyork
81,80101040003,4newyork,03newyork,2017,0.0,74.0,0.0,0.0,0.0,53,56.6038,98.1132,0.0,0.0,newyork
82,80201040001,4newyork,01newyork,2017,0.0,92.0,0.0,0.0,0.0,38,36.8421,97.3684,0.0,0.0,newyork
83,80601040003,4newyork,03newyork,2017,0.0,91.0,0.0,0.0,0.0,69,49.2754,91.3043,1.4493,5.7971,newyork
84,81003040003,4newyork,03newyork,2017,0.0,91.0,0.0,0.0,0.0,58,63.7931,98.2759,1.7241,0.0,newyork
85,81200050004,5newyork,04newyork,2017,0.0,81.0,0.0,0.0,0.0,152,55.2632,90.1316,4.6053,4.6053,newyork
86,81401040001,4newyork,01newyork,2017,0.0,79.0,0.0,0.0,0.0,48,56.25,97.9167,0.0,2.0833,newyork
87,81501040002,4newyork,02newyork,2017,0.0,94.0,0.0,0.0,0.0,51,62.7451,92.1569,0.0,3.9216,newyork
88,82001040004,4newyork,04newyork,2017,0.0,93.0,0.0,0.0,0.0,86,53.4884,98.8372,0.0,0.0,newyork
89,90201040002,4newyork,02newyork,2017,0.0,85.0,0.0,0.0,0.0,82,63.4146,93.9024,2.439,1.2195,newyork
90,90301060006,6newyork,06newyork,2017,0.0,83.0,0.0,0.0,0.0,154,52.5974,97.4026,1.2987,0.0,newyork
91,90501040002,4newyork,02newyork,2017,0.0,97.0,0.0,0.0,0.0,97,47.4227,93.8144,3.0928,1.0309,newyork
92,90601020002,2newyork,02newyork,2017,0.0,98.0,0.0,0.0,0.0,44,29.5455,97.7273,2.2727,0.0,newyork
93,90901040002,4newyork,02newyork,2017,0.0,99.0,0.0,0.0,0.0,61,44.2623,96.7213,0.0,0.0,newyork
94,91101060005,6newyork,05newyork,2017,0.0,93.0,0.0,0.0,0.0,158,45.5696,93.038,4.4304,0.0,newyork
95,91200010006,1newyork,06newyork,2017,0.0,80.0,0.0,0.0,0.0,101,60.396,84.1584,12.8713,0.9901,newyork
96,91402060005,6newyork,05newyork,2017,0.0,88.0,0.0,0.0,0.0,106,40.566,97.1698,0.9434,0.9434,newyork
97,100501040003,4newyork,03newyork,2017,0.0,75.0,0.0,0.0,0.0,117,56.4103,86.3248,2.5641,10.2564,newyork
98,100902040004,4newyork,04newyork,2017,0.0,93.0,0.0,0.0,0.0,44,47.7273,86.3636,0.0,6.8182,newyork
99,101001040002,4newyork,02newyork,2017,0.0,89.0,0.0,0.0,0.0,71,36.6197,84.507,2.8169,5.6338,newyork
100,101300010001,1newyork,01newyork,2017,0.0,53.0,0.0,0.0,0.0,134,64.9254,38.806,33.5821,17.1642,newyork
101,101401040005,4newyork,05newyork,2017,0.0,92.0,0.0,0.0,0.0,141,36.1702,90.7801,3.5461,4.2553,newyork
102,101601040003,4newyork,03newyork,2017,0.0,85.0,0.0,0.0,0.0,48,22.9167,95.8333,0.0,0.0,newyork
103,110101040002,4newyork,02newyork,2017,0.0,96.0,0.0,0.0,0.0,24,41.6667,100.0,0.0,0.0,newyork
104,110200010011,1newyork,11newyork,2017,0.0,92.0,0.0,0.0,0.0,224,45.0893,87.5,4.0179,4.9107,newyork
105,110304040002,4newyork,02newyork,2017,0.0,80.0,0.0,0.0,0.0,35,62.8571,94.2857,0.0,0.0,newyork
106,110701060001,6newyork,01newyork,2017,0.0,97.0,0.0,0.0,0.0,133,45.1128,95.4887,2.2556,0.0,newyork
107,110901040001,4newyork,01newyork,2017,0.0,74.0,0.0,0.0,0.0,46,54.3478,95.6522,4.3478,0.0,newyork
108,120102040001,4newyork,01newyork,2017,0.0,87.0,0.0,0.0,0.0,15,40.0,93.3333,0.0,0.0,newyork
109,120301040001,4newyork,01newyork,2017,0.0,100.0,0.0,0.0,0.0,21,71.4286,95.2381,4.7619,0.0,newyork
110,120401040001,4newyork,01newyork,2017,0.0,83.0,0.0,0.0,0.0,24,58.3333,95.8333,0.0,4.1667,newyork
111,120501040002,4newyork,02newyork,2017,0.0,95.0,0.0,0.0,0.0,54,25.9259,100.0,0.0,0.0,newyork
112,120701040001,4newyork,01newyork,2017,0.0,95.0,0.0,0.0,0.0,23,43.4783,86.9565,0.0,4.3478,newyork
113,120906040002,4newyork,02newyork,2017,0.0,97.0,0.0,0.0,0.0,31,51.6129,93.5484,0.0,6.4516,newyork
114,121401040001,4newyork,01newyork,2017,0.0,97.0,0.0,0.0,0.0,30,53.3333,83.3333,3.3333,10.0,newyork
115,121502040001,4newyork,01newyork,2017,0.0,91.0,0.0,0.0,0.0,21,42.8571,90.4762,0.0,9.5238,newyork
116,121601060006,6newyork,06newyork,2017,0.0,69.0,0.0,0.0,0.0,87,71.2644,88.5057,2.2989,8.046,newyork
117,121701040001,4newyork,01newyork,2017,0.0,86.0,0.0,0.0,0.0,27,33.3333,92.5926,0.0,3.7037,newyork
118,121702040001,4newyork,01newyork,2017,0.0,97.0,0.0,0.0,0.0,30,26.6667,83.3333,3.3333,6.6667,newyork
119,121901040002,4newyork,02newyork,2017,0.0,82.0,0.0,0.0,0.0,70,61.4286,95.7143,0.0,4.2857,newyork
120,130200010005,1newyork,05newyork,2017,0.0,73.0,0.0,0.0,0.0,205,58.5366,37.561,26.3415,33.6585,newyork
121,130502020003,2newyork,03newyork,2017,0.0,87.0,0.0,0.0,0.0,114,51.7544,73.6842,7.8947,18.4211,newyork
122,130801060007,6newyork,07newyork,2017,0.0,71.0,0.0,0.0,0.0,310,55.4839,58.7097,19.3548,16.4516,newyork
123,131101040004,4newyork,04newyork,2017,0.0,69.0,0.0,0.0,0.0,72,70.8333,73.6111,5.5556,19.4444,newyork
124,131201040002,4newyork,02newyork,2017,0.0,91.0,0.0,0.0,0.0,59,16.9492,72.8814,5.0847,20.339,newyork
125,131301040002,4newyork,02newyork,2017,0.0,92.0,0.0,0.0,0.0,75,36.0,85.3333,1.3333,10.6667,newyork
126,131500010010,1newyork,10newyork,2017,0.0,50.0,0.0,0.0,0.0,513,77.3879,6.6277,63.1579,27.8752,newyork
127,131601060008,6newyork,08newyork,2017,0.0,85.0,0.0,0.0,0.0,593,32.8836,71.6695,11.8044,12.9848,newyork
128,131602020005,2newyork,05newyork,2017,0.0,100.0,0.0,0.0,0.0,94,35.1064,58.5106,17.0213,13.8298,newyork
129,131701060002,6newyork,02newyork,2017,0.0,97.0,0.0,0.0,0.0,132,26.5152,82.5758,3.0303,12.1212,newyork
130,131801040001,4newyork,01newyork,2017,0.0,97.0,0.0,0.0,0.0,67,19.403,92.5373,0.0,4.4776,newyork
131,132101060011,6newyork,11newyork,2017,0.0,82.0,0.0,0.0,0.0,437,33.4096,64.3021,11.2128,20.3661,newyork
132,132101060015,6newyork,15newyork,2017,0.0,91.0,0.0,0.0,0.0,455,22.8571,76.7033,5.7143,14.0659,newyork
133,132101060016,6newyork,16newyork,2017,0.0,77.0,0.0,0.0,0.0,13,53.8462,76.9231,15.3846,0.0,newyork
134,132201040005,4newyork,05newyork,2017,0.0,92.0,0.0,0.0,0.0,66,36.3636,80.303,3.0303,13.6364,newyork
135,140101060006,6newyork,06newyork,2017,0.0,97.0,0.0,0.0,0.0,124,31.4516,95.9677,1.6129,0.8065,newyork
136,140201060002,6newyork,02newyork,2017,0.0,99.0,0.0,0.0,0.0,190,36.3158,67.3684,15.7895,6.8421,newyork
137,140203060004,6newyork,04newyork,2017,0.0,96.0,0.0,0.0,0.0,189,19.0476,80.4233,4.2328,6.3492,newyork
138,140203060010,6newyork,10newyork,2017,0.0,89.0,0.0,0.0,0.0,272,18.75,81.9853,6.9853,2.5735,newyork
139,140203060013,6newyork,13newyork,2017,0.0,94.0,0.0,0.0,0.0,163,17.7914,76.0736,3.0675,4.2945,newyork
140,140207060006,6newyork,06newyork,2017,0.0,86.0,0.0,0.0,0.0,234,59.8291,53.8462,29.9145,7.6923,newyork
141,140301030005,3newyork,05newyork,2017,0.0,96.0,0.0,0.0,0.0,125,21.6,93.6,0.8,4.8,newyork
142,140600010056,1newyork,56newyork,2017,0.0,85.0,0.0,0.0,0.0,111,41.4414,42.3423,34.2342,9.009,newyork
143,140600010097,1newyork,97newyork,2017,0.0,66.0,0.0,0.0,0.0,197,62.9442,19.797,59.3909,18.7817,newyork
144,140600010098,1newyork,98newyork,2017,0.0,51.0,0.0,0.0,0.0,323,78.6378,14.2415,57.5851,16.7183,newyork
145,140600010101,1newyork,01newyork,2017,0.0,50.0,0.0,0.0,0.0,183,79.235,6.5574,73.224,10.3825,newyork
146,140600010102,1newyork,02newyork,2017,0.0,94.0,0.0,0.0,0.0,180,31.1111,56.1111,13.8889,6.6667,newyork
147,140600010110,1newyork,10newyork,2017,0.0,43.0,0.0,0.0,0.0,323,76.161,41.7957,40.2477,14.2415,newyork
