,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totaltested,lowincome,white,black,hispanic,asian,state,countycode,districtcode
3887,057905032tx,2021,0.0,18.35,0.0,0.0,0,109,58.72,0.0,64.2202,35.7798,0.0,tx,057tx,057905tx
3888,057905033tx,2015,0.0,64.81,0.0,0.0,0,54,62.96,1.8519,27.7778,70.3704,0.0,tx,057tx,057905tx
3889,057905033tx,2016,0.0,62.5,0.0,0.0,0,32,62.5,0.0,25.0,68.75,6.25,tx,057tx,057905tx
3890,057905033tx,2017,0.0,87.5,0.0,0.0,0,8,100.0,12.5,12.5,75.0,0.0,tx,057tx,057905tx
3891,057905033tx,2018,0.0,90.91,0.0,0.0,0,22,72.73,0.0,22.7273,72.7273,4.5455,tx,057tx,057905tx
3892,057905033tx,2019,0.0,100.0,0.0,0.0,0,41,24.39,0.0,19.5122,80.4878,0.0,tx,057tx,057905tx
3893,057905033tx,2021,0.0,68.18,0.0,0.0,0,22,40.91,4.5455,13.6364,81.8182,0.0,tx,057tx,057905tx
3894,057905034tx,2015,0.0,48.19,0.0,0.0,0,83,22.89,36.1446,28.9157,27.7108,3.6145,tx,057tx,057905tx
3895,057905034tx,2016,0.0,78.31,0.0,0.0,0,83,38.55,42.1687,31.3253,22.8916,1.2048,tx,057tx,057905tx
3896,057905034tx,2017,0.0,83.16,0.0,0.0,0,95,36.84,36.8421,30.5263,29.4737,2.1053,tx,057tx,057905tx
3897,057905034tx,2018,0.0,79.05,0.0,0.0,0,105,28.57,40.0,23.8095,32.381,1.9048,tx,057tx,057905tx
3898,057905034tx,2019,0.0,63.41,0.0,0.0,0,82,25.61,18.2927,40.2439,32.9268,1.2195,tx,057tx,057905tx
3899,057905034tx,2021,0.0,27.06,0.0,0.0,0,85,30.59,27.0588,16.4706,44.7059,0.0,tx,057tx,057905tx
3900,057905036tx,2015,0.0,73.81,0.0,0.0,0,42,59.52,4.7619,28.5714,66.6667,0.0,tx,057tx,057905tx
3901,057905036tx,2016,0.0,84.21,0.0,0.0,0,38,76.32,2.6316,10.5263,86.8421,0.0,tx,057tx,057905tx
3902,057905036tx,2017,0.0,83.33,0.0,0.0,0,12,91.67,0.0,25.0,75.0,0.0,tx,057tx,057905tx
3903,057905036tx,2018,0.0,100.0,0.0,0.0,0,21,61.9,0.0,33.3333,61.9048,4.7619,tx,057tx,057905tx
3904,057905036tx,2019,0.0,100.0,0.0,0.0,0,28,39.29,3.5714,10.7143,78.5714,7.1429,tx,057tx,057905tx
3905,057905036tx,2021,0.0,39.13,0.0,0.0,0,23,43.48,0.0,13.0435,86.9565,0.0,tx,057tx,057905tx
3906,057905037tx,2015,0.0,47.37,0.0,0.0,0,38,55.26,2.6316,31.5789,65.7895,0.0,tx,057tx,057905tx
